ETC_20150317_000001	凱帕
ETC_20150717_013207	請消滅擋住前往5層的階梯的克萊獰怪！
ETC_20150717_013208	辛苦了，克莉妲。
ETC_20150717_013209	王國軍警備兵德魯斯
ETC_20150717_013210	武器箱
ETC_20150717_013211	收復屯駐地吧！
ETC_20150717_013212	喔！是箱子。
ETC_20150717_013213	能賣的東西有什麼呢。
ETC_20150717_013214	只有文件而已啊。
ETC_20150717_013215	夜之氣息弱化
ETC_20150717_013216	在衰微的勒肯家門宅邸的怪物們變弱了。
ETC_20150717_013217	光線反射
ETC_20150717_013218	燈火通明，開始看見躲藏的怪物們。
ETC_20150717_013219	點燃了為了冤魂所準備的營火。
ETC_20150717_013220	造成暫時無法對話的Buff
ETC_20150717_013221	靈魂脫離中
ETC_20150717_013222	靈魂正被奪取，難怪氣息會一直流失。
ETC_20150717_013223	炸彈效果
ETC_20150717_013224	炸彈效果
ETC_20150717_013225	可疑雕刻物的詛咒
ETC_20150717_013226	可疑圖騰的祝福
ETC_20150717_013227	可疑水晶的詛咒
ETC_20150717_013228	可疑石柱的祝福
ETC_20150717_013229	可疑碑石的祝福
ETC_20150717_013230	來歷不明的水晶柱的祝福
ETC_20150717_013231	，使用這個可以自由地移動。
ETC_20150717_013232	在遊戲設定裡，可以選擇操作方法。
ETC_20150717_013233	Pad的情形，可以使用十字鍵移動。
ETC_20150717_013234	滑鼠的情形，如果點擊地面，角色就會移動至該場所。
ETC_20150717_013235	滑鼠操作時，使用{img W 40 40}, {img A 40 40}, {img S 40 40}, {img D 40 40}鍵{nl}也可以進行移動。
ETC_20150717_013236	戰士系列迅速地輸入同樣的方向鍵兩次時，會使用疾走。
ETC_20150717_013237	使用疾走後，移動速度會增加，但是耐力減少速度會變快。
ETC_20150717_013238	如果使用跳躍，可以跳過較低的障礙物或是爬上較高的地方。
ETC_20150717_013239	使用{img X 40 40}鍵，可以使用跳躍。
ETC_20150717_013240	用滑鼠操作時，使用{img space 40 40}可以進行跳躍。
ETC_20150717_013241	用Pad操作時，使用指定的按鍵可以進行跳躍。
ETC_20150717_013242	使用{img Z 40 40}鍵，可以進行個別角色攻擊。
ETC_20150717_013243	用滑鼠操作時，使用{img Z 40 40}鍵或點擊敵人，可以進行基本攻擊。
ETC_20150717_013244	使用{img ctrl 40 40}鍵後，可以固定目標。
ETC_20150717_013245	使用{img Alt 40 40}鍵後，在移動中可以讓角色立刻停住。
ETC_20150717_013246	如果使用{img space 40 40}，會立刻望向目前的目標。
ETC_20150717_013247	用Pad操作時，使用指定的按鍵可以進行攻擊。
ETC_20150717_013248	使用地圖，可以確認目標自身的位置和重要地區。
ETC_20150717_013249	使用{img M 40 40}鍵可以確認目前所處地區的地圖。
ETC_20150717_013250	使用{img N 40 40}鍵可以確認世界地圖。
ETC_20150717_013251	還沒有拜訪的地區不會標示在世界地圖上。{nl}只要是拜訪過一次的地區，就會在世界地圖上活性化。
ETC_20150717_013252	有關活性化的地區，將滑鼠移上去時，在該地區上{nl}可以看到角色所完成的地圖。
ETC_20150717_013253	透過背包可以確認裝備中或是持有中的道具和所擁有的財物、重量。
ETC_20150717_013254	使用{img F2 40 40}鍵可以確認背包窗。
ETC_20150717_013255	在背包窗的上方，會出現角色在各部上配戴中的裝備。
ETC_20150717_013256	下面是目前放到背包裡的道具。
ETC_20150717_013257	背包的道具會按照種類分類。
ETC_20150717_013258	在背包按下整理，背包裡的道具會按照名字順序整理。
ETC_20150717_013259	使用搜索後，可以在背包裡輕鬆找到想要找的道具。
ETC_20150717_013260	最下方可以看到背包的道具重量總合和持有的NXP、所持金。
ETC_20150717_013261	透過任務窗可以確認目前可執行的任務情報。
ETC_20150717_013262	使用{img F5 40 40}鍵可以確認目前可執行或是正在執行中的任務目錄。
ETC_20150717_013263	在進行目錄上選擇任務後，可以確認該任務的詳細情報。
ETC_20150717_013264	放棄按鈕活性化的任務
ETC_20150717_013265	可進行。
ETC_20150717_013266	放棄的任務在任務窗上面的
ETC_20150717_013267	分頁，可在此進行確認。
ETC_20150717_013268	如果按下按鈕，會立即重新開始放棄的任務。部份任務會有無法放棄的情形。
ETC_20150717_013269	在任務名稱前面選擇確認，可以登錄或解除任務提示。
ETC_20150717_013270	職業等級成長時，可以使用獲得到的點數管理角色的技能。
ETC_20150717_013271	使用{img F3 40 40}鍵可以確認技能窗。
ETC_20150717_013272	學會的技能追加至快捷欄，可以設定為想要的按鍵。
ETC_20150717_013273	可以透過各職業大師NPC學習特性。
ETC_20150717_013274	要學習特性，需要適當量的銀幣。{nl}而且按照各特性，會有完成學習所需要的時間。
ETC_20150717_013275	特性在學習完成之後，才可以使用。如果開始特性學習，{nl}在那期間無法學習其它特性。
ETC_20150717_013276	完成學習的特性在位於技能窗下方的特性目錄{nl}可以確認。
ETC_20150717_013277	特性可以視情況，開啟或關閉功能。
ETC_20150717_013278	角色進行遊戲的情報會被記錄在冒險日誌，使用F4鍵可以確認冒險日誌。
ETC_20150717_013279	透過道具獲得、怪物獵殺、製作、地圖探險、內容進行，可以獲得冒險指數。
ETC_20150717_013280	角色根據所累積的冒險指數，在位於柯拉佩達的
ETC_20150717_013281	巴伊寶拉之翼 - 雷那
ETC_20150717_013282	那裡可以向NPC領取獎勵。
ETC_20150717_013283	在狀態上投資點數，可以讓該狀態成長。
ETC_20150717_013284	要投資的狀態效果可嘲在下面確認。
ETC_20150717_013285	轉職
ETC_20150717_013286	職業等級達到15以後，就可以選擇轉職。
ETC_20150717_013287	選擇要轉職的職業之後，可以從該職業大師那獲得轉職任務。完成轉職任務後，就會轉職為該職業.
ETC_20150717_013288	開始轉職任務後，直到下次轉職之前，都無法變更職業。
ETC_20150717_013289	從2階級職業開始，可以向該職業大師
ETC_20150717_013290	特性，可以學習。
ETC_20150717_013291	學會武器交換，可以將事先登錄的武器用{img Alt 40 40}+ {img Z 40 40}{nl}鍵快速地變更。
ETC_20150717_013292	部份職業為了使用固有武器，也會有必須向武器大師學習的情形。
ETC_20150717_013293	使用復活功能後，死掉的角色會再次復活。
ETC_20150717_013294	HP為 0的角色會死掉，
ETC_20150717_013295	，變成該狀態。{nl} {nl}
ETC_20150717_013296	，在該狀態下可以選擇復活方法。{nl} {nl}-在附近復活地點再次進行：在該地區的開始部份復活。在地下城時，會在地下城外面入口復活。{nl} {nl}-在原地再次進行：角色在死位的位置上復活。消耗1個NXP。{nl}
ETC_20150717_013297	在地下城死亡時，會讓背包持有的寶石掉落在地上。
ETC_20150717_013298	會將角色的行動記錄為成就，達成成就時，可以獲得獎勵。
ETC_20150717_013299	使用{img F1 40 40}鍵開啟角色資訊視窗後，如果按下成就分頁，可以確認角色的成就。
ETC_20150717_013300	角色達成成就之後，可以獲得該成就的獎勵。
ETC_20150717_013301	組隊設定
ETC_20150717_013302	使用{img F6 40 40}鍵可以確認組隊資訊視窗。
ETC_20150717_013303	如果按下面的組隊創建，可以創建組隊。組隊只有在不屬於隊伍時才可以產生。
ETC_20150717_013304	在構成可以設定自己的遊戲風格和想要的組隊構成。
ETC_20150717_013305	使用尋找組隊員功能時，會將該內容做為依據，配對組隊成員。
ETC_20150717_013306	在組隊活動上，出現能夠和組隊成員一起享受的內容。
ETC_20150717_013307	在設定裡可以設定組隊名稱和說明還有道具或經驗值分配規則等。
ETC_20150717_013308	在右側可以確認公開組隊目錄。
ETC_20150717_013309	登錄在公開組隊的組隊中，可以選擇自己想要的組隊參與。
ETC_20150717_013310	在怪物資訊視窗可以看到該怪物的等級和名稱、體力狀況等。
ETC_20150717_013311	，以該屬性。
ETC_20150717_013312	，攻擊該屬性的怪物，會很有效。
ETC_20150717_013313	類型的攻擊是
ETC_20150717_013314	，攻擊此類型的怪物，會很有效。
ETC_20150717_013315	消耗的HP/SP/耐力可以透過恢復功能恢復。
ETC_20150717_013316	[休息模式]：使用{img Insert 40 40}鍵可以使用休息模式。
ETC_20150717_013317	在休息模式下行動會被限制，但是恢復速度會變快，可以做新的行動。
ETC_20150717_013318	[營火]：營火只有在休息時可以設置，休息時可以讓恢復速度增加。
ETC_20150717_013319	營火使用{img key1 40 40}~{img key9 40 40}鍵，選擇角色周圍位置{nl}就可以設置。{nl} {nl}設置營火時，需要雜貨商人所販賣的木柴。
ETC_20150717_013320	[自然回復]：
ETC_20150717_013321	能力值為基準
ETC_20150717_013322	體力恢復速度
ETC_20150717_013323	於此按比例恢復。
ETC_20150717_013324	自然回復相較其它回復方法顯得回復較慢，{nl}但是不需要其它的操作或是條件。
ETC_20150717_013325	[藥水回復]：隨著使用的藥水，立即恢復HP/SP/耐力。
ETC_20150717_013326	[破壞樹根水晶]：破壞樹根水晶後，在被破壞的樹根水晶附近的所有角色的耐力會回復。
ETC_20150717_013327	PvP是以隊伍戰鬥聯賽的名稱所進行的團體戰。
ETC_20150717_013328	在維持5人組隊的狀態下，每間隔一段時間就可以申請。
ETC_20150717_013329	如果組隊隊長按下申請，在搜尋對手之後，就會移動至進行地區。
ETC_20150717_013330	隊伍戰鬥聯賽以5戰3勝制進行。
ETC_20150717_013331	如果獲得製作書，可以在背包確認該道具和所需要的材料。
ETC_20150717_013332	製作書可以透過消滅怪物、從商人那購買、任務獎勵等多樣的路徑獲得。
ETC_20150717_013333	道具製作按下{img Insert 40 40}鍵轉換休息模式後，就可以開始。
ETC_20150717_013334	想要製作的道具的材料必須充足才可以製作道具。
ETC_20150717_013335	製作所需要的材料如果足夠，
ETC_20150717_013336	按下按鍵製作道具。
ETC_20150717_013337	製作道具使用者可以隨意給予道具名稱或備註。
ETC_20150717_013338	使用商店
ETC_20150717_013339	如果在城市和野外旅行時，可以找到商人NPC。
ETC_20150717_013340	透過道具交易窗，可以和商人NPC交易道具。{nl} {nl}[購入]：將想購買的道具以{img mouseclick_right 40 40}登錄至購賣道具，決定數量後
ETC_20150717_013341	結算
ETC_20150717_013342	按鈕按下，進行交易。{nl}要一次購買許多個時，用{img shift 40 40}+{img mouseclick_right 40 40}決定數量。{nl} {nl}[販賣]：在背包將想要販賣的道具用{img mouseclick_right 40 40}{nl}登錄至販賣道具上，在決定好數量後，
ETC_20150717_013343	按下按鍵進行交易。{nl}雙擊{img mouseclick_right 40 40}時，可以將該道具全部販賣。
ETC_20150717_013344	清空
ETC_20150717_013345	如果按下按鍵，已登錄在購買道具、販賣道具上的所有道具都會重置。
ETC_20150717_013346	在下方的我已販賣的道具上，{img mouseclick_right 40 40}該道具後，可以重新買入或是從目錄上刪除。
ETC_20150717_013347	在裝備強化，隨著鐵砧和強化階段，會需要強化費用。
ETC_20150717_013348	道具可以向雜貨商人購買或是獵殺怪物獲得。
ETC_20150717_013349	以{img mouseclick_right 40 40}鐵砧使用後，點擊要強化的道具，強化窗會開啟。
ETC_20150717_013350	，選擇之後，於角色附近
ETC_20150717_013351	會被生成，此時
ETC_20150717_013352	打擊三次，會完成強化。
ETC_20150717_013353	+5 以上的武器強化失敗時，潛力會被消耗。潛力為0時，道具就會消毀。
ETC_20150717_013354	防具、手環、項鍊從 +3 以上開始，就會給予強化失敗懲罰。
ETC_20150717_013355	耐久度為0的裝備無法再繼續使用。
ETC_20150717_013356	透過修理窗可以修理耐久度減少的道具。{nl}選擇要修理的道具後，點擊裝備修理，支付修理費用，所選擇的道具的耐久度會恢復至最大值。
ETC_20150717_013357	每一個裝備都會被請求已決定好的修理費用。越高的等級會請求越多的修理費用。
ETC_20150717_013358	在裝備上配戴寶石，可以增加有用的效果。
ETC_20150717_013359	寶石主要為地下城所可以獲得到的道具，為裝備在裝備上後可以發出追加效果的道具。
ETC_20150717_013360	寶石強化的材料為其它寶石或是寶石研磨劑。
ETC_20150717_013361	持有的裝備上如果有鑲嵌槽，插放寶石可以在裝備上增加效果。
ETC_20150717_013362	隨著裝備的不同，也有可能沒有鑲嵌槽。
ETC_20150717_013363	沒有鑲嵌槽的裝備可以拜託鐵匠NPC穿鑿鑲嵌槽。
ETC_20150717_013364	追加鑲嵌槽時，和鑲嵌槽追加費用一起，該裝備的潛力會減少1。
ETC_20150717_013365	如果{img mouseclick_right 40 40}背包的寶石，會標示可以配戴寶石的道具。
ETC_20150717_013366	選擇道具後，可以讓寶石安裝在鑲嵌槽。
ETC_20150717_013367	已安裝的寶石可以在該道具的說明上確認。
ETC_20150717_013368	已安裝在道具上的寶石在鐵匠NPC那裡
ETC_20150717_013369	，透過這個可以解除安裝。
ETC_20150717_013370	此時，解除安裝的寶石會以等級下降1的狀態解除安裝。
ETC_20150717_013371	次武器通常指是配戴在角色右手的輔助裝備。
ETC_20150717_013372	次武器在配戴時，用{img C 40 40}鍵可以使用。
ETC_20150717_013373	如果配戴攻擊用次武器，在攻擊時會以次武器攻擊敵人。
ETC_20150717_013374	有特別功能的次武器的情形，在使用時，次武器的效果會發揮出來。
ETC_20150717_013375	玩家之間交易
ETC_20150717_013376	在冒險中所獲得到的道具，玩家之間可以互相交易道具。
ETC_20150717_013377	[交易] 對要交易的角色 {img mouseclick_right 40 40}後，選擇交易就可以使用交易功能。
ETC_20150717_013378	在背包上將要交易的道具{img mouseclick_right 40 40}，將該道具登錄在交易目錄上。
ETC_20150717_013379	互相確認登錄的道具後，如果依順序按下同意、最終確認後，就會完成交易。
ETC_20150717_013380	[市場]為玩家之間交易已登錄道具的無人交易系統。
ETC_20150717_013381	透過市場管理員，可以使用市場功能。
ETC_20150717_013382	販賣中的道具為其它玩家所登錄的道具，在確認登錄的道具和價格後，可以購買。
ETC_20150717_013383	已購買的道具可以在道具領取箱確認
ETC_20150717_013384	在販賣登錄可以登錄自己要販賣的道具。
ETC_20150717_013385	在背包{img mouseclick_right 40 40}要販賣的道具，決定好數量和價格並登錄。
ETC_20150717_013386	，如果讓這個活性化，就可以在已活性化的女神像之間使用傳送。
ETC_20150717_013387	為了讓女神像活性化，必須移動至女神像附近。
ETC_20150717_013388	如果使用已活性化的女神像，可以快迅地移動至其它地區的已活性化女神像。
ETC_20150717_013389	如果使用傳送卷軸，即使沒有女神像也可以馬上使用傳送功能。
ETC_20150717_013390	傳送卷軸可以在雜貨商店購買或是作為任務獎勵獲得。
ETC_20150717_013391	或是使用快捷鍵{img backspace 40 40}(backspace){nl}
ETC_20150717_013392	道具可以由各種方法獲得，
ETC_20150717_013393	[魔法協會柯拉佩達支部]赫奴利卡
ETC_20150717_013394	可以透過NPC讓圖鑑活性化。
ETC_20150717_013395	登錄的卡片組合
ETC_20150717_013396	可以透過NPC確認。
ETC_20150717_013397	選擇想完成的圖鑑，可以確認完成所需要的道具情報。
ETC_20150717_013398	，為了讓這個活性化，必須獲得該圖鑑所要求的道具，然後配戴在該欄位上。
ETC_20150717_013399	背包如果有圖鑑所需要的道具，拖曳該隔道具可以配戴至圖鑑上。
ETC_20150717_013400	配戴的道具透過滑鼠{img mouseclick_right 40 40}可以卸下。卸下的道具會放回背包。
ETC_20150717_013401	在完成好的圖鑑上卸下道具時，會以未完成的圖鑑處理，完成效果會效失。
ETC_20150717_013402	只有完成的圖鑑才會賦予角色下方的圖鑑效果。
ETC_20150717_013403	補給品寶箱回收方法
ETC_20150717_013404	寵物商人不只是領養，還販賣寵物飼料或進行訓練。
ETC_20150717_013405	如果領養費用足夠，就可以領養寵物。
ETC_20150717_013406	寵物一次只能帶一隻行動。
ETC_20150717_013407	寵物會幫助角色的戰鬥，累積經驗值成長。{nl} {nl}和寵物同行時，寵物會消耗耐力。如果耐力全部消耗，寵物的移動速度會顯著地下降。{nl} {nl}如果按下開關按鈕轉換成休息狀態後，可以解除召喚目前同行中的寵物。{nl}如果想要再次同行，請再次按下開關。
ETC_20150717_013408	寵物透過訓練，可以培養的更強。
ETC_20150717_013409	如果向寵物商人請求寵物訓練，支付訓練費用可以提升寵物的能力值。
ETC_20150717_013410	因為寵物的活動而消耗的耐力，可以給予寵物飼料使其恢復。給予寵物飼料時，能將HP全部恢復，並將耐力恢復一定量。
ETC_20150717_013411	寵物飼料可以透過寵物商人購買。
ETC_20150717_013412	在地下城登場的怪物們發現到角色後會先攻擊。
ETC_20150717_013413	請募集組隊成員後，再去挑戰吧！
ETC_20150717_013414	選擇之後，可以在地下城外入口復活。
ETC_20150717_013415	進到地下城深處後，一定要隨時小心！
ETC_20150717_013416	寶石可以透過在地下城打怪取得。
ETC_20150717_013417	角色死亡時，有時候會失去寶石。請小心喔。
ETC_20150717_013418	如果膜拜女神像，每個女神像會都給予增益的效果。
ETC_20150717_013419	使用後，可以使用地區之間的傳送功能。
ETC_20150717_013420	，膜拜後可以獲得角色的耐力點數。
ETC_20150717_013421	社群
ETC_20150717_013422	社交功能
ETC_20150717_013423	透過社交功能，可以和其它玩家們進行互動
ETC_20150717_013424	[幫手]從3階級職業開始，在結束連線時，會消耗NXP並留下角色做為幫手。
ETC_20150717_013425	以幫手留下來的角色，其它角色可以給予NXP並雇用。
ETC_20150717_013426	被雇用的幫手會跟隨角色，幫助角色的戰鬥。
ETC_20150717_013427	如果使用[好友]F7鍵，可以確認好友窗。在玩家們互相同意下，可以將好友增加至好友目錄。
ETC_20150717_013428	互相同意的玩家們可以確認連線與否和上線地區。
ETC_20150717_013429	[讚] 對其它角色{img mouseclick_right 40 40}滑鼠後，
ETC_20150717_013430	，若按下此鍵可以使用讚功能。
ETC_20150717_013431	，進行這個的角色們會提升角色親密度，在組隊配對上會更容易遇到。
ETC_20150717_013432	在獲得的武器和盾牌上掛魔法護身符，可以增加有用的效果。
ETC_20150717_013433	如果發動過度傷害，可以追加獲得經驗值。
ETC_20150717_013434	魔力控制室
ETC_20150717_013435	雜貨商人艾密利亞
ETC_20150717_013436	都市雜貨商人
ETC_20150717_013437	貨貨商人1
ETC_20150717_013438	希露艾克里斯塔
ETC_20150717_013439	佩迪米安雜貨商人
ETC_20150717_013440	克莉妲菲尼克斯
ETC_20150717_013441	NPC_火焰權杖
ETC_20150717_013442	石化都市空的 NPC
ETC_20150717_013443	NPC_凱帕_臨時用
ETC_20150717_013444	石化霜用隱形觸發器
ETC_20150717_013445	BOSS獵殺任務
ETC_20150717_013446	委託所任務
ETC_20150717_013447	和傭兵委託所傳達員藍達對話，參加委託所任務。
ETC_20150717_013448	DoTimeAction：尋找零件中：3：SITGROPE：None
ETC_20150717_013449	Property：1/PropertyAdd：1/EffectNPC：Local：F_pc_making_finish_white：1：TOP/Notice：NOTICE_Dm_GetItem：找到零件了！：5/NPCDead
ETC_20150717_013450	Notice：NOTICE_Dm_！：什麼東西也找不到！：5/NPCDead
ETC_20150717_013451	DoTimeAction：採集中：3：SITGROPE：None
ETC_20150717_013452	Property：1/PropertyAdd：1/GiveItem：FLASH_58_SQ_020_ITEM_1：1/EffectNPC：Local：F_pc_making_finish_white：1：TOP/Notice：NOTICE_Dm_Clear：已採集毒草了！：5
ETC_20150717_013453	NPCDead/Notice：NOTICE_Dm_！：什麼東西也採集不到！：5
ETC_20150717_013454	DoTimeAction：正在採集石化物粉末：5：GROPE：None
ETC_20150717_013455	Property：1/PropertyAdd：1/GiveItem：FLASH_58_SQ_050_ITEM_2：1/EffectNPC：Local：F_pc_making_finish_white：1：TOP/NPCDead/Notice：NOTICE_Dm_Clear：已採集石化物粉末！：5
ETC_20150717_013456	NPCDead/Notice：NOTICE_Dm_！：石化物粉末採取失敗了！：5
ETC_20150717_013457	Func：SCR_FLASH_58_PETRIFICATION_MON_PRECHCEK/DoTimeAction：正在抽取怪物核心：3：SITGROPE：None
ETC_20150717_013458	Property：1/PropertyAdd：1/GiveItem：FLASH_58_SQ_060_ITEM_1：1/EffectNPC：Local：FLASH_58_SQ_060_ITEM_1：1：TOP/NPCDead/Notice：NOTICE_Dm_Clear：已獲得核心！：5
ETC_20150717_013459	Notice：NOTICE_Dm_！：什麼也無法獲得：5
ETC_20150717_013460	解放彼恩堤城堡的被石化的犧牲者
ETC_20150717_013461	水晶礦山的過去[鍊金術士轉職]
ETC_20150717_013462	排除怪物們通過走廊
ETC_20150717_013463	翻找王國軍警備兵的屍體，收集可以使用的裝備
ETC_20150717_013464	從佩迪米安雜貨商人那裡獲得稀釋液
ETC_20150717_013465	用飼料箱引誘因普羅卡拉斯博學者，收集黏稠的樹脂
ETC_20150717_013466	平安躲避至安全的地方
ETC_20150717_013467	維修第一個石化探測器
ETC_20150717_013468	維修第二個石化探測器
ETC_20150717_013469	維修第三個石化探測器
ETC_20150717_013470	維修第四個石化探測器
ETC_20150717_013471	從怪物或士兵們那裡收集零件
ETC_20150717_013472	採回毒草
ETC_20150717_013473	採集石化物粉末
ETC_20150717_013474	從石化怪物們那裡收集核心
ETC_20150717_013475	將核心丟進終端機裡 (1)
ETC_20150717_013476	將核心丟進終端機裡 (2)
ETC_20150717_013477	將核心丟進終端機裡 (3)
ETC_20150717_013478	從怪物們那裡收集雷管
ETC_20150717_013479	史可尼斯原野隱藏活動條件Session
ETC_20150717_013480	奇堤斯的開墾地隱藏活動條件Session
ETC_20150717_013481	破旗森林隱藏活動條件Session
ETC_20150717_013482	札卡里耶爾交叉路隱藏活動條件Session
ETC_20150717_013483	比爾塔溪谷隱藏活動條件Session
ETC_20150717_013484	製作書-雪德利佳伊拉的寶珠
ETC_20150717_013485	製作書-奧茲塔斯劍
ETC_20150717_013486	製作書-高加索短劍
ETC_20150717_013487	製作書-那柯堤斯
ETC_20150717_013488	製作書-克里那斯權杖
ETC_20150717_013489	製作書-黛梅雷權杖
ETC_20150717_013490	製作書-黑色法杖
ETC_20150717_013491	製作書-命中十字弓
ETC_20150717_013492	製作書-老將十字弓
ETC_20150717_013493	製作書-手槍
ETC_20150717_013494	老手
ETC_20150717_013495	熟練者
ETC_20150717_013496	挑戰者
ETC_20150717_013497	冠軍
ETC_20150717_013498	FAQ ： 強化{nl}1) 武器、裝備道具可以透過鐵砧進行強化。{nl}2) 鐵砧可以在村子裡透過雜貨商人購買。{nl}3) 每次強化時，都需要花費銀幣。如果銀幣不足就無法進行強化。{nl}4) 強化時，武器可以100%強化至5強，防禦可以100%強化至3強。從下一個強化階段開始，失敗機率會增加。{nl}    如果強化失敗，強化數值會重置。道具所擁有的潛力就會減少。
ETC_20150717_013499	卡片戰鬥 tip
ETC_20150717_013500	在聊天輸入上
ETC_20150717_013501	輸入後，可以和對方進行卡片大戰。
ETC_20150717_013502	/邀請組隊
ETC_20150717_013503	/新增好友
ETC_20150717_013504	/封鎖
ETC_20150717_013505	名字不可包含空白，{nl}英文不可超過16個字母，{nl}中文不可超8個字。
ETC_20150717_013506	和伺服器的連線{nl}已結束。
ETC_20150717_013507	3秒後移動到登入模式。
ETC_20150717_013508	無法連線伺服器。
ETC_20150717_013509	ID字數超過允許長度。
ETC_20150717_013510	ID或是密碼錯誤。{nl}密碼有區分大小寫。{nl}
ETC_20150717_013511	伺服器結束作業尚未完成或是已經登入。{nl}若為伺服器結束作業之狀況，最久會持續3分鐘。
ETC_20150717_013512	認證碼錯誤。
ETC_20150717_013513	已有相同名稱存在。{nl}請輸入其它名稱。
ETC_20150717_013514	無法創建角色。
ETC_20150717_013515	無法刪除角色。
ETC_20150717_013516	沒有角色
ETC_20150717_013517	認證失敗，{nl}已結束與伺服器的連線。
ETC_20150717_013518	密碼不符。
ETC_20150717_013519	已達到最多可創建的角色數量。{nl}若要創建新角色，必須刪除現有角色。
ETC_20150717_013520	請輸入帳號密碼。
ETC_20150717_013521	連線世界。
ETC_20150717_013522	您要學習特性嗎？
ETC_20150717_013523	連線中。
ETC_20150717_013524	{gr gradation2}{s19}{ol}{b}{#ffcc00}點擊右鍵：販賣/購買按鈕{/}{/}{nl}如果想將一個道具販賣好幾個，請按Shift+點擊滑鼠右鍵。{nl}雙重點擊時，可以全部賣掉。
ETC_20150717_013525	分流爆滿，進入可遊戲的其它分流。
ETC_20150717_013526	強化+{Auto_1} 以上的防具、手鐲、項鍊道具失敗時，會消耗潛力。潛力為0時，道具就會消毀。要進行強化嗎？
ETC_20150717_013527	強化+{Auto_1} 以上的武器道具失敗時，會消耗潛力。潛力為0時，道具就會消毀。要進行強化嗎？
ETC_20150717_013528	5秒後自動入場。
ETC_20150717_013529	如果從地下城出去，覺醒就會失敗。真的要出去嗎？
ETC_20150717_013530	獲得銀幣了。
ETC_20150717_013531	該角色不具備能夠使用此寵物的職業。
ETC_20150717_013532	該角色不具備能夠搭乘此寵物的特性。
ETC_20150717_013533	{ThemeName} ({Count}名)
ETC_20150717_013534	讚 +1
ETC_20150717_013535	{Name}喜歡 {Who}！
ETC_20150717_013536	{@st41b}回收道具
ETC_20150717_013537	使用
ETC_20150717_013538	聞到飼料味道，因普羅卡拉斯博學者衝過來了。
ETC_20150717_013539	被引誘的因普羅卡拉斯博學者
ETC_20150717_013540	已獲得黏稠的樹脂！
ETC_20150717_013541	正在查看探測器
ETC_20150717_013542	探測器沒有運作！
ETC_20150717_013543	探測器正常運作中。
ETC_20150717_013544	被微弱石化霜發現，產生石化了！{nl}請再次挑戰！
ETC_20150717_013545	被指引似地移動！
ETC_20150717_013546	由於終端機的異常運作，因此無法接近！
ETC_20150717_013547	不是擁有雷管的怪物！
ETC_20150717_013548	石化霜接近了！請趕快逃啊！
ETC_20150717_013549	燈火通明{nl}
ETC_20150717_013550	分鐘內會持續。
ETC_20150717_013551	老舊的油袋不足。
ETC_20150717_013552	魔氣淨化裝置已活性化中
ETC_20150717_013553	已解除守護封印，守護者被召喚出來了！
ETC_20150717_013554	已解除保護封印，泰拉伊普們衝了出來！
ETC_20150717_013555	已解除呵護封印，宅邸的怪物變弱了！
ETC_20150717_013556	找到有關魔力再生石的資料了
ETC_20150717_013557	受到巴利烏斯的魔力影響，正在重置。
ETC_20150717_013558	水晶碎片不足。
ETC_20150717_013559	這泉水的毒非常少
ETC_20150717_013560	稍微喘口氣吧。
ETC_20150717_013561	放有老舊的書
ETC_20150717_013562	爆破物
ETC_20150717_013563	正在清除爆破物
ETC_20150717_013564	發現未爆彈！{nl}請和對未爆彈很了解的工兵大師對話
ETC_20150717_013565	發現未爆彈！{nl}使用未爆彈清除道具箱
ETC_20150717_013566	未爆彈清除完成！
ETC_20150717_013567	使用道具箱
ETC_20150717_013568	炸彈設置完成
ETC_20150717_013569	沒能守護阿曼達
ETC_20150717_013570	將道具當做祭品奉上
ETC_20150717_013571	背包裡沒有道具
ETC_20150717_013572	從可疑的水晶那裡獲得祝福
ETC_20150717_013573	放上大蘑菇精傘帽。
ETC_20150717_013574	放上大夏爾蘭肌腱。
ETC_20150717_013575	放上夏爾蘭面具。
ETC_20150717_013576	放上喬雷的核。
ETC_20150717_013577	放上鉤子。
ETC_20150717_013578	放上墓地青苔泥人的核。
ETC_20150717_013579	走吧。
ETC_20150717_013580	放上丹德爾的翅膀。
ETC_20150717_013581	放上凱帕外殼。
ETC_20150717_013582	放上阿修隆莖梗。
ETC_20150717_013583	放上凱帕長老的外皮。
ETC_20150717_013584	放上野蜘蛛葉。
ETC_20150717_013585	放上艾倫鈴鐺。
ETC_20150717_013586	周圍的怪物們正一擁而來！
ETC_20150717_013587	從可疑的碑石那裡獲得了祝福。
ETC_20150717_013588	來歷不明的水晶柱
ETC_20150717_013589	從可疑的石柱那裡獲得了祝福。
ETC_20150717_013590	所有裝備
ETC_20150717_013591	本遊戲為12歲使用。
ETC_20150717_013592	沒有空欄位。
ETC_20150717_013593	在騎乘寵物的狀態下，無法進行卡片大戰。
ETC_20150717_013594	戰士、牧師系列職業可能不適合滑鼠模式。
ETC_20150717_013595	道具分配規則已變更為{Change}。
ETC_20150717_013596	經驗值分配規則已變更為{Change}。
ETC_20150717_013597	任務分享變更為{Change}。
ETC_20150717_013598	已發送邀請訊息。
ETC_20150717_013599	沒有已登錄的即時商店。{nl}如果對雜貨商人登錄即時商店，畫面右側
ETC_20150717_013600	已點燃營火！
ETC_20150717_013601	已點燃！
ETC_20150717_013602	[雜貨商人]{nl}     安那
