QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150714_007494	將金屬板轉交給尤斯達斯
QUEST_LV_0100_20150714_007495	找到拉米貝丘陵的金屬板了。請將這個金屬板交給尤斯達斯。
QUEST_LV_0100_20150714_007496	已平安找回拉米貝丘陵的金屬板了。請再次與尤斯達斯進行對話。
QUEST_LV_0100_20150714_007497	拿出井裡的金屬板
QUEST_LV_0100_20150714_007498	尤斯達斯說要將金屬板從乾枯的井底內拉出來。請使用附有磁鐵的繩子拉出金屬板。
QUEST_LV_0100_20150714_007499	拉出在井裡的金屬板
QUEST_LV_0100_20150714_007500	已經擊退所有怪物了，現在請抓住繩子拉出金屬板。
QUEST_LV_0100_20150714_007501	已平安將井裡的金屬板拉上來了。請向尤斯達斯轉達結果。
QUEST_LV_0100_20150714_007502	除鏽劑
QUEST_LV_0100_20150714_007503	尤斯達斯好像因為金屬板上的鏽傷透了腦筋。請向尤斯達斯詢問是否還有需要幫忙的事情。
QUEST_LV_0100_20150714_007504	收集幽靈范托魔術師的內核
QUEST_LV_0100_20150714_007505	尤斯達斯說要將戴梅特里屋史金屬板上的鏽給除掉。為了製作除鏽劑，請去艾斯克拉聖所帶回幽靈范托魔術師的內核。
QUEST_LV_0100_20150714_007506	已帶回所有幽靈范托魔術師的內核。請交給尤斯達斯。
QUEST_LV_0100_20150714_007507	消滅幽靈范托魔術師，救回 %s
QUEST_LV_0100_20150714_007508	尤斯達斯用幽靈范托魔術師的內核做出了酸性溶液。請與尤斯達斯討論下一個要做的東西是什麼。
QUEST_LV_0100_20150714_007509	收集冒泡的液體
QUEST_LV_0100_20150714_007510	請先消滅對尤斯達斯所給的鏽粉就馬上有反應的幽靈范托咒術士，再收集冒泡的液體。
QUEST_LV_0100_20150714_007511	已收集了滿滿的冒泡的液體。請向尤斯達斯轉達結果。
QUEST_LV_0100_20150714_007512	與阿爾魯達對話
QUEST_LV_0100_20150714_007513	請跟尤斯達斯的助手阿爾魯達見面。正在前往亞斯巴殿堂的路上。
QUEST_LV_0100_20150714_007514	搜索要作為試劑的真金屬板
QUEST_LV_0100_20150714_007515	阿爾魯達請你找出散布在大殿堂周圍的真(的)金屬板。請用阿爾魯達給你的反應試劑，確認金屬板並挑出真品。
QUEST_LV_0100_20150714_007516	將金屬板交給阿爾魯達
QUEST_LV_0100_20150714_007517	找到真的金屬板了。請拿給阿爾魯達。
QUEST_LV_0100_20150714_007518	請詢問阿爾魯達是否還有其他金屬板。
QUEST_LV_0100_20150714_007519	回收被藤蔓覆蓋住的金屬板
QUEST_LV_0100_20150714_007520	位於亞斯巴殿堂角落的金屬板被藤蔓覆蓋住了。請清除藤蔓並將金屬板拿回來。
QUEST_LV_0100_20150714_007521	再將它轉交給阿爾魯達
QUEST_LV_0100_20150714_007522	已平安拿出金屬板。請將金屬板交給阿爾魯達
QUEST_LV_0100_20150714_007523	清除藤蔓
QUEST_LV_0100_20150714_007524	請與阿爾魯達討論關於其他金屬板的事。
QUEST_LV_0100_20150714_007525	請在波薩斯街道用探測棒搜索金屬板
QUEST_LV_0100_20150714_007526	阿爾魯達說還有一個他來不及探索的地方。請用阿爾魯達給的探測棒來探索波薩斯街道。
QUEST_LV_0100_20150714_007527	在波薩斯街道用探測棒探索金屬板
QUEST_LV_0100_20150714_007528	阿爾魯達說還有一個他來不及探索的地方。請用阿爾魯達給的探測棒來探索波薩斯街道。
QUEST_LV_0100_20150714_007529	找到阿爾魯達沒找到的金屬板了 請將金屬板交給阿爾魯達。
QUEST_LV_0100_20150714_007530	阿爾魯達搜集到所有金屬板後看起來很高興。請再次與阿爾魯達進行對話。
QUEST_LV_0100_20150714_007531	去找尤斯達斯
QUEST_LV_0100_20150714_007532	阿爾魯達說要將找到的所有金屬板都交給尤斯達斯。請在將所有的金屬板交給尤斯達斯後，接受說好的戴梅特里屋史研究記錄。
QUEST_LV_0100_20150714_007533	殘存的危險
QUEST_LV_0100_20150714_007534	礦山村的拜杜塔斯正在找您。請跟拜杜塔斯對話。
QUEST_LV_0100_20150714_007535	確認水晶礦山布貝的動靜
QUEST_LV_0100_20150714_007536	拜杜塔斯很擔心更具危險性的布貝們會重新回到村莊。請到水晶礦山第2礦區確認布貝們的動靜。
QUEST_LV_0100_20150714_007537	在去第2礦區之前遭到了布貝們的襲擊。請告知拜杜塔斯這件事。
QUEST_LV_0100_20150714_007538	請跟拜杜塔斯商討該如何對付這些更具威脅性的布貝們。
QUEST_LV_0100_20150714_007539	設置拜杜塔斯特製香爐
QUEST_LV_0100_20150714_007540	拜杜塔斯做出了能讓布貝們感受到無力感跟恐懼感的香。請將放有這支香的香爐設置在水晶礦山第2礦區1層。
QUEST_LV_0100_20150714_007541	香爐已成功設置。請向拜杜塔斯報告。
QUEST_LV_0100_20150714_007542	看守者艾拉好像因為潘圖傷透了腦筋。請與看守者艾拉進行對話。
QUEST_LV_0100_20150714_007543	收集莫厄之瘤
QUEST_LV_0100_20150714_007544	看守者艾拉打算用潘圖的天敵－莫厄的味道來阻止潘圖逃出凱利高原。請收集皮艾奈原野附近的莫厄之瘤。
QUEST_LV_0100_20150714_007545	再將它交給看守者艾拉
QUEST_LV_0100_20150714_007546	已收集到莫厄之瘤。請將它交給看守者艾拉
QUEST_LV_0100_20150714_007547	消滅潘圖的天敵莫厄並救回 %s
QUEST_LV_0100_20150714_007548	指定區域
QUEST_LV_0100_20150714_007549	愛護潘圖的看守者莫爾黎在找您。請與看守者莫爾黎進行對話。
QUEST_LV_0100_20150714_007550	收集串繩材料
QUEST_LV_0100_20150714_007551	看守者莫爾黎打算做出會讓潘圖感到恐懼的串繩。請在卡汀森林入口收集漁人怪的眼睛和艾倫的精髓。
QUEST_LV_0100_20150714_007552	卡汀森林全區
QUEST_LV_0100_20150714_007553	再將它轉交給看守者莫爾黎
QUEST_LV_0100_20150714_007554	已收集好做串繩需要的所有材料了。請將它交給看守者莫爾黎
QUEST_LV_0100_20150714_007555	已收集好所有做串繩所需的材料了。請跟莫爾黎討論下一個要做什麼。
QUEST_LV_0100_20150714_007556	設置串繩
QUEST_LV_0100_20150714_007557	為了讓潘圖們不能跨越到其他地區，請在斯拉屋塔斯峽谷和奈普里塔斯懸崖那設置串繩。
QUEST_LV_0100_20150714_007558	斯拉屋塔斯峽谷/奈普里塔斯懸崖
QUEST_LV_0100_20150714_007559	已設置好所有串繩。請向看守者莫爾黎報告。
QUEST_LV_0100_20150714_007560	失蹤案件
QUEST_LV_0100_20150714_007561	騎士團長烏斯卡正在找您。請和騎士團長烏斯卡進行對話。
QUEST_LV_0100_20150714_007562	搜查失蹤現場
QUEST_LV_0100_20150714_007563	騎士團長烏斯卡委託您調查帝雷尼斯王子跟市長的失蹤事件。必須到貝雅山谷史達布拉斯休憩地使用靈魂之眼才能蒐集到線索。
QUEST_LV_0100_20150714_007564	保護柯拉佩達市場的靈魂
QUEST_LV_0100_20150714_007565	有不明人士在攻擊市場的靈魂。請保護遭受攻擊的市場靈魂。
QUEST_LV_0100_20150714_007566	與柯拉佩達市場的靈魂對話
QUEST_LV_0100_20150714_007567	已拯救柯拉佩達市場的靈魂。請問市場的靈魂發生了什麼事。
QUEST_LV_0100_20150714_007568	真好奇到底發生了什麼事。請與柯拉佩達市場的靈魂進行對話
QUEST_LV_0100_20150714_007569	柯拉佩達市場的靈魂說，他們遭到崇拜樹木的信徒襲擊而死，就連帝雷尼斯王子也被他們綁架了。請將這件事向騎士團長烏斯卡報告。
QUEST_LV_0100_20150714_007570	邪靈祭司大師正在尋找能夠幫忙慰靈祭的人。請與邪靈祭司大師進行對話。
QUEST_LV_0100_20150714_007571	用提尼的精髓替安慰之珠充電
QUEST_LV_0100_20150714_007572	邪靈祭司大師打算安慰冤死的安德伊村民們。先在科博爾特森林消滅提尼，再將提尼的精髓放入安慰之珠裡。
QUEST_LV_0100_20150714_007573	科博爾特森林、賽堤尼山溝
QUEST_LV_0100_20150714_007574	科博爾特森林全區
QUEST_LV_0100_20150714_007575	將怨念吸收至安慰之珠
QUEST_LV_0100_20150714_007576	安德伊村民們的怨恨，已化為不祥之氣散布在各地。請收集怨恨並將它裝入安慰之珠裡。
QUEST_LV_0100_20150714_007577	安德伊村民們的怨恨，已化為不祥之氣散布在各地。請將怨恨裝入安慰之珠裡。
QUEST_LV_0100_20150714_007578	安德伊村民的怨恨已裝滿晶球。請將它交給邪靈祭司大師。
QUEST_LV_0100_20150714_007579	薩勒女神的請求
QUEST_LV_0100_20150714_007580	薩勒女神需要您的幫助。請與薩勒女神進行對話。
QUEST_LV_0100_20150714_007581	清除通往關口路要道上的針刺藤蔓
QUEST_LV_0100_20150714_007582	薩勒擔心會不會連賽堤尼山溝都被佛蘭普的針刺藤蔓給吞噬。請清除通往關口路要道上的針刺藤蔓。
QUEST_LV_0100_20150714_007583	已切斷具有威脅性的針刺藤蔓。請向薩勒女神報告。
QUEST_LV_0100_20150714_007584	清除針刺藤蔓
QUEST_LV_0100_20150714_007585	薩勒女神想要淨化剩下的荊棘林。請與薩勒女神進行對話。
QUEST_LV_0100_20150714_007586	在史爾特凱拉森林設置權能結晶
QUEST_LV_0100_20150714_007587	薩勒女神打算用裝有自己權能水晶來淨化荊棘林。請在史爾特凱拉森林放入權能的水晶。
QUEST_LV_0100_20150714_007588	已成功設置薩勒女神的權能水晶。請回去看看薩勒女神。
QUEST_LV_0100_20150714_007589	寒冰法師大師正需要您的幫助。請與寒冰法師大師進行對話。
QUEST_LV_0100_20150714_007590	收集純粹的寒氣結晶
QUEST_LV_0100_20150714_007591	對波塞林奇斯的怪物使用寒氣水晶後，請將被冰凍的靈魂碎片收集回來。將碎片放入魔力凝聚器後，就能獲得純粹的寒氣結晶。
QUEST_LV_0100_20150714_007592	請將它交給寒冰法師大師
QUEST_LV_0100_20150714_007593	已獲得純粹的寒氣結晶。請交給寒冰法師大師。
QUEST_LV_0100_20150714_007594	隱藏寶物
QUEST_LV_0100_20150714_007595	庫班好像遇到了什麼不好處理的事情。試著和庫班交談。
QUEST_LV_0100_20150714_007596	茲貝克的粒粒充電
QUEST_LV_0100_20150714_007597	庫班說要將茲貝克藏起來的東西交給你。請在怪物附近設置好茲貝克晶球後，消滅怪物並為水晶晶球充電。
QUEST_LV_0100_20150714_007598	茲貝克晶球已充電完成。請與庫班討論接下來該做什麼。
QUEST_LV_0100_20150714_007599	茲貝克晶球已充電完成。請與庫班討論接下來該做什麼。
QUEST_LV_0100_20150714_007600	尋找茲貝克藏起來的東西
QUEST_LV_0100_20150714_007601	請使用茲貝克晶球找出茲貝克藏起來的東西。
QUEST_LV_0100_20150714_007602	巫師大師好像發生了緊急狀況。請與巫師大師對話。
QUEST_LV_0100_20150714_007603	破壞魔族召喚陣
QUEST_LV_0100_20150714_007604	巫師大師在召喚魔族的時候，好像連結上了其他世界。請去水路橋地區破壞魔族召喚陣。
QUEST_LV_0100_20150714_007605	已破壞魔族召喚陣。請轉告巫師大師。
QUEST_LV_0100_20150714_007606	女神的封印塔
QUEST_LV_0100_20150714_007607	與祭司拉美莉耶對話
QUEST_LV_0100_20150714_007608	祭司拉美莉耶正急著找您。請與祭司拉美莉耶對話，看是發生了什麼事。
QUEST_LV_0100_20150714_007609	封印塔防禦
QUEST_LV_0100_20150714_007610	魔族們正覬覦著封印塔。請守護封印塔抵擋魔族。
QUEST_LV_0100_20150714_007611	封印塔已安全守住。請告訴祭司拉美莉耶這件事。
QUEST_LV_0100_20150714_007612	與祭司拉美莉耶對話
QUEST_LV_0100_20150714_007613	封印塔已安全守住了。請再次與祭司拉美莉耶進行對話。
QUEST_LV_0100_20150714_007614	為奧斯特雅女神的紋章充電
QUEST_LV_0100_20150714_007615	請幫忙恢復第一道封印。請先在奧斯特雅女神的紋章內注入祭壇附近的神聖之氣。
QUEST_LV_0100_20150714_007616	將奧斯特雅女神的紋章獻給封印塔
QUEST_LV_0100_20150714_007617	奧斯特雅女神的紋章已充滿神聖之氣。請將它獻給封印塔。
QUEST_LV_0100_20150714_007618	奧斯特雅女神的紋章已充滿神聖之氣。請將奧斯特雅女神的紋章獻給封印塔。
QUEST_LV_0100_20150714_007619	奧斯特雅女神的紋章已充滿神聖之氣。請將奧斯特雅女神的紋章獻給封印塔。
QUEST_LV_0100_20150714_007620	封印已成功復原。請轉告祭司拉美莉耶這件事。
QUEST_LV_0100_20150717_007621	還有，已經向雜貨商人委託了專為啟示者們準備的傳點卷軸，請一定要去找他。
QUEST_LV_0100_20150717_007622	去找騎士堤塔斯(1)
QUEST_LV_0100_20150717_007623	去找騎士堤塔斯(2)
QUEST_LV_0100_20150717_007624	從預備淨化裝置收集 %s
QUEST_LV_0100_20150717_007625	消滅突然出現的赤紅布貝鬥士
QUEST_LV_0100_20150717_007626	一打開箱子，赤紅布貝鬥士就出現了！ 請盡快打倒他們。
QUEST_LV_0100_20150717_007627	膜拜女神像後請與雜貨商人對話
QUEST_LV_0100_20150717_007628	與雜貨商人對話
QUEST_LV_0100_20150717_007629	騎士團長烏斯卡向雜貨商人委託了專為啟示者們準備的傳點卷軸。請與雜貨商人對話並接收傳點卷軸。
QUEST_LV_0100_20150717_007630	雜貨商人好像還有話要說。請與雜貨商人進行對話。
QUEST_LV_0100_20150717_007631	幫助守護農場出入口的士兵艾爾倫
QUEST_LV_0100_20150717_007632	真的是很為難啊！{nl}凱帕原來可以變那麼大啊…
QUEST_LV_0100_20150717_007633	不論如何，請一定要加油。{nl}阿拉斯也在努力撐著。
QUEST_LV_0100_20150717_007634	回去吧。{nl}你無法成為容器。
QUEST_LV_0100_20150729_007635	下次要小心。
QUEST_LV_0100_20150729_007636	要比魔族還要先一步找出聖所。{nl}但是，必須要慎重行事。對方是個連用聖器都無法打倒的對手。
QUEST_LV_0100_20150729_007637	傑斯堤…是不能小看的對手。{nl}雖然必須快點找出藏匿的聖所，還是要沉著小心。
QUEST_LV_0100_20150729_007638	我真是。你看纜車損毀的零件。{nl}雖然還會運轉，但這有點嚴重呢。{nl}
QUEST_LV_0100_20150729_007639	4前發生這件事之後，最早發生變化的就是卡普里亞。{nl}然後潘圖們接二連三地也…剩下的就只有一些年幼的小鬼們。
QUEST_LV_0100_20150729_007640	原來是因為結界的關係才進不去啊。{nl}我會在這裡守著聖器，你去地下1層解除結界吧。
QUEST_LV_0100_20150729_007641	不要躲躲藏藏的，堂堂正正的出來打一場比較好。{nl}要是對手是魔族就更好了。
QUEST_LV_0100_20150729_007642	原來人類也可以打倒魔王。{nl}一開始聽到的時候真的不可置信。
QUEST_LV_0100_20150729_007643	請你救救我吧！{nl}我不知道要怎麼從結界內逃出去！
QUEST_LV_0100_20150729_007644	請您快逃吧！{nl}等等怪物有可能會衝過來！
QUEST_LV_0100_20150729_007645	很好。{nl}對了，請不要忘了在出發之前，要膜拜位於中央廣場上的奧施莉奈女神像完再走喔。{nl}
QUEST_LV_0100_20150729_007646	雖然很感謝您回來找我，但目前還是…非常不夠。{nl}對不起。{nl}
QUEST_LV_0100_20150729_007647	差不多收集完所有遺物了。{nl}那就麻煩您到最後了。
QUEST_LV_0100_20150729_007648	真的很感謝您。{nl}多虧您，就連死去的戰友們，現在也能在女神的懷抱中好好休息了。
QUEST_LV_0100_20150729_007649	永生的豬籠草(1)
QUEST_LV_0100_20150729_007650	永生的豬籠草(2)
QUEST_LV_0100_20150729_007651	看守者的潛力(1)
QUEST_LV_0100_20150729_007652	看守者的潛力(2)
QUEST_LV_0100_20150729_007653	放入靈魂之眼中
QUEST_LV_0100_20150729_007654	靈魂之眼確認中/MAKING/2/TRACK_BEFORE/None/F_spread_in023_green/1/MID
QUEST_LV_0100_20150729_007655	妨礙儀式進行的人們
QUEST_LV_0100_20150729_007656	說會幫忙。
QUEST_LV_0100_20150729_007657	不能隨意對待屍體。
QUEST_LV_0100_20150729_007658	事前預防
QUEST_LV_0100_20150729_007659	打算破壞棺木。
QUEST_LV_0100_20150729_007660	現在要你自己看著辦。
QUEST_LV_0100_20150729_007661	嬌貴的守墓人
QUEST_LV_0100_20150729_007662	要去找找看。
QUEST_LV_0100_20150729_007663	直接跟他說。
QUEST_LV_0100_20150729_007664	讓亡者安息
QUEST_LV_0100_20150729_007665	願意為死者祈禱。
QUEST_LV_0100_20150729_007666	身為守墓人應該要守本分。
QUEST_LV_0100_20150729_007667	詭異的聖所 (1)
QUEST_LV_0100_20150729_007668	馬上回來。
QUEST_LV_0100_20150729_007669	這點程度就自己看著辦吧。
QUEST_LV_0100_20150729_007670	詭異的聖所 (2)
QUEST_LV_0100_20150729_007671	去看一下就會回來。
QUEST_LV_0100_20150729_007672	要你直接做。
QUEST_LV_0100_20150729_007673	誤信
QUEST_LV_0100_20150729_007674	先過去待著。
QUEST_LV_0100_20150729_007675	要你自己確認看看。
QUEST_LV_0100_20150729_007676	要你自己做。
QUEST_LV_0100_20150729_007677	請打開箱子看看。
QUEST_LV_0100_20150729_007678	好像已經找回所有被溫迪戈搶走的補充物資了。請將這些東西還給利特。
QUEST_LV_0100_20150729_007679	消滅溫迪戈並收集 %s
QUEST_LV_0100_20150729_007680	從溫迪戈那獲得補充物資
QUEST_LV_0100_20150729_007681	如果傭兵埃塔沒有抓到薩厄加斯，就會硬撐著不回去營地。幫助埃塔並讓他早日回到營地會比較好。請為了埃塔，去阿爾庫內階梯路收集靈氣流動的石頭和怪物毒回來吧。
QUEST_LV_0100_20150729_007682	已收集到蘊含靈氣的石頭和怪物毒了。請回去看看傭兵埃塔。
QUEST_LV_0100_20150729_007683	請向住在柯拉佩達左邊盡頭居住地區的邪靈祭司大師詢問這個石版是什麼。
QUEST_LV_0100_20150729_007684	膜拜奧施莉奈女神像
QUEST_LV_0100_20150729_007685	為了做好前往東方森林的萬全準備，請膜拜位於中央廣場上的奧施莉奈女神像。
QUEST_LV_0100_20150729_007686	消滅布貝，找回 %s
QUEST_LV_0100_20150729_007687	卡汀森林入口全區
QUEST_LV_0100_20150729_007688	騎士團長烏斯卡向您委託了帝雷尼斯王子和市長的失蹤案件。請用靈魂之眼，在貝雅山谷的史達布拉斯源泉內搜查線索。
QUEST_LV_0100_20150729_007689	在有可能是失蹤地點的位置上放了靈魂之眼。請確認放入的靈魂之眼。
QUEST_LV_0100_20150729_007690	消滅打算攻擊柯拉佩達市場靈魂的人們
QUEST_LV_0100_20150729_007691	邪靈祭司大師打算安慰冤死的安德伊村民們。先消滅棲息於科博爾特森林和賽堤尼山溝的提尼，然後將提尼的精髓放入安慰之珠裡。
QUEST_LV_0100_20150729_007692	與尤塔進行對話
QUEST_LV_0100_20150729_007693	祭司尤塔好像陷入了為難的狀況。請與尤塔進行對話。
QUEST_LV_0100_20150729_007694	消滅復活的屍體
QUEST_LV_0100_20150729_007695	祭司尤塔拜託您消滅妨礙儀式進行的屍體們。請消滅這些屍體。
QUEST_LV_0100_20150729_007696	向祭司尤塔報告
QUEST_LV_0100_20150729_007697	已消滅祭司尤塔拜託的屍體們。請回到尤塔身邊。
QUEST_LV_0100_20150729_007698	復活的屍體
QUEST_LV_0100_20150729_007699	依照祭司尤塔的請求，解決了屍體們。請向尤塔詢問是否還有需要幫忙的事情。
QUEST_LV_0100_20150729_007700	破壞不斷湧現的棺木
QUEST_LV_0100_20150729_007701	如祭司尤塔所說，屍體從不斷湧現的棺木中甦醒。{nl}請破壞從不斷湧現的棺木中甦醒的屍體。
QUEST_LV_0100_20150729_007702	回到尤塔身邊
QUEST_LV_0100_20150729_007703	已破壞所有祭司尤塔拜託的棺木。{nl}請回到尤塔身邊。
QUEST_LV_0100_20150729_007704	祭司尤塔說聖所周圍的結界讓他根本無法靠近聖所附近。{nl}拜託您幫忙問守墓人希奇斯該怎麼做才好。
QUEST_LV_0100_20150729_007705	與守墓人希奇斯對話
QUEST_LV_0100_20150729_007706	找到守墓人希奇斯了。請與希奇斯進行對話
QUEST_LV_0100_20150729_007707	對守墓人希奇斯好像有什麼說不出口的隱情。請與希奇斯進行對話
QUEST_LV_0100_20150729_007708	幫復活的屍體化妝
QUEST_LV_0100_20150729_007709	守墓人希奇斯貢獻了他的火炬，請您點燃這火炬來為亡者淨化。
QUEST_LV_0100_20150729_007710	回到守墓人希奇斯身邊
QUEST_LV_0100_20150729_007711	已幫復活的屍體們化好妝了。請回到希奇斯身邊。
QUEST_LV_0100_20150729_007712	詭異的聖所
QUEST_LV_0100_20150729_007713	依照守墓人希奇斯的請求，已幫復活的亡者化好妝了。{nl}請向希奇斯詢問是否還有需要幫忙的事情。
QUEST_LV_0100_20150729_007714	拿出守墓人箱子裡的東西
QUEST_LV_0100_20150729_007715	守墓人希奇斯請你打開守墓人箱子拿出物品。
QUEST_LV_0100_20150729_007716	請將守墓人的咒術人偶交給希奇斯
QUEST_LV_0100_20150729_007717	箱子的內容物為守墓人的咒術人偶。請轉交給守墓人希奇斯。
QUEST_LV_0100_20150729_007718	已交給守墓人希奇斯要求的守墓人咒術人偶。請向希奇斯詢問守墓人咒術人偶的使用方法。
QUEST_LV_0100_20150729_007719	環視教團的聖所
QUEST_LV_0100_20150729_007720	請與咒術人偶一起環視教團的聖所。
QUEST_LV_0100_20150729_007721	向守墓人希奇斯報告
QUEST_LV_0100_20150729_007722	一靠近聖所，咒術人偶就壞了。請回去告訴守墓人希奇斯這件事。
QUEST_LV_0100_20150729_007723	守墓人希奇斯想要請你告訴祭司尤塔咒術人偶壞掉這件事。
QUEST_LV_0100_20150729_007724	調查教團的聖物
QUEST_LV_0100_20150729_007725	尤塔聽說結界解開後，說要親自去看一下。你出發到那裏等尤塔吧。
QUEST_LV_0100_20150729_007726	教團的聖物接二連三地出現，消滅了鐵甲殘魔。{nl}請與尤塔進行對話。
QUEST_LV_0100_20150729_007727	尤塔對於自己的誤信，真心感到後悔。請幫助這個女人向希奇斯道歉。
QUEST_LV_0100_20150729_007728	請向守墓人希奇斯轉達尤塔的歉意。
QUEST_LV_0100_20150730_007729	那時稍微看了一下周遭，發現那邊有澤米娜女神的聖物。我要去看一下那個聖物。{nl}因為是澤米娜女神的聖物，女神一定會回應我的!{nl}
QUEST_LV_0100_20150730_007730	但很擔心屍體們又會再次醒來妨礙儀式。{nl}去那邊的墓室，就能看到很多立在牆上的棺木，屍體們就在裡面沉睡著。{nl}請在屍體們醒來之前，破壞那些棺木。
QUEST_LV_0100_20150730_007731	在那邊看了一下，發現還有樹木形狀的聖物立在那裡。{nl}那個聖物應該是澤米娜女神給真裡的樹教團的。{nl}因為樹是澤米娜女神的象徵，所以一定是澤米娜女神給他們的聖物沒錯！
QUEST_LV_0100_20150730_007732	在摧毀棺木的時候，請小心一定不能打開棺木的蓋子。{nl}剛剛我也摧毀了幾個棺木，不小心打開蓋子的話屍體就會撲上前來。
QUEST_LV_0100_20150730_007733	好險有摧毀棺木，屍體們才沒有撲過來。{nl}但卻來不及確認聖物。我無法靠近聖物所在位置。{nl}好像有什麼東西一直在將我往外推。
QUEST_LV_0100_20150730_007734	這地方，如果是管理地下墓穴的守墓人應該會對聖物跟結界多少有點了解吧？ {nl}不過我沒辦法向守墓人搭話。{nl}因為在這裡準備儀式的過程中，守墓人對我很生氣。{nl}請問你能不能代替我向守墓人詢問聖物的事情呢？
QUEST_LV_0100_20150730_007735	他們是在我跟著女神的足跡來到地下墓穴的時候，毀掉儀式的屍體。{nl}當時看到屍體們從棺木中走出來的樣子，就決定要在他們醒來前把棺木給毀掉。{nl}就在那時目睹那一切的守墓人說我對那些已故的亡者沒有禮貌，對我很生氣。{nl}但我只是覺得毀掉那些棺木總比屍體自己醒來好得多了吧…
QUEST_LV_0100_20150730_007736	女神的聖物？ 那是什麼？ 你也跟那個沒禮貌的邪靈祭司是同一掛的嗎？{nl}是的話就給我馬上滾出這個墓園。只要想到邪靈祭司那傢伙，就讓我氣得咬牙切齒。{nl}因為屍體會甦醒就隨便破壞棺木！{nl}我真不懂怎麼可以毫不在乎地做出這種行為呢？
QUEST_LV_0100_20150730_007737	請向守墓人好好稟告這件事。我一定要找出澤米娜女神。{nl}地底下也是澤米娜女神的領域，屍體會在這裡復活也全都是因為女神離開的關係。
QUEST_LV_0100_20150730_007738	這真是太不像話了。亡者竟然復活了…{nl} 如果說這是某人故意惹出來的禍，沒有什麼事能比這個更污辱人了！{nl}在墓地內的屍體不斷復活的狀況下，你覺得誰最可疑？
QUEST_LV_0100_20150730_007739	如果這真的不是邪靈祭司所為，就要幫助這些醒來的屍體們安息。{nl}將他們重新埋到地底無法保證會不會又復活，只能以對故人莊重的禮儀，用這把火炬來淨化他們的肉身。
QUEST_LV_0100_20150730_007740	你還在摩蹭什麼！ 快點行動！ 實在是看不下去了…
QUEST_LV_0100_20150730_007741	謝謝你代替我幫他們安息…{nl}老實說身為守墓人，要我對原本應該好好守護的屍體們做出這種事實在不容易…
QUEST_LV_0100_20150730_007742	如果你是指邪靈祭司說的女神聖物，我也有看到。那是真理之樹教團那些傢伙立在那的聖物。{nl}他們認為自己是澤美娜女神的正式祭司團，還有這個墓地是屬於澤美娜女神的領域，所以能得到女神的賜福。{nl}想了一想，發現自從真理之樹教團那些傢伙將聖物立在這地方起，屍體就開始不斷地甦醒。{nl}但是我也無法靠近那個聖物。{nl}
QUEST_LV_0100_20150730_007743	…啊！ 沒錯！{nl}再往裡面走的話，就會有裝有我父親使用過的物品的箱子。{nl}幫我從箱子裡拿出咒術人偶。雖然我非去不可，但夾在這些屍體之間我實在是走不了…
QUEST_LV_0100_20150730_007744	從以前開始，瘋子邪靈祭司或是死靈法師偶爾會偷偷潛入地下墓穴。{nl}他們會對安置在這裡的屍體進行一些不正常的實驗。{nl}我父親為了阻擋那些弄亂神聖墓園並守護地下墓穴，製作了咒術人偶。{nl}將魔力注入這個咒術人偶，就能找出並破壞那些擾亂墓園的力量。
QUEST_LV_0100_20150730_007745	我們家是代代相傳的守墓人家族。神樹之日當天，在父親被捲入那個事件去世後，我就默默地擔負起守墓人的角色了。雖然我只是跟在爸爸身邊看著，沒有真的去學什麼專業要領，但現在我是這裡的守墓人…
QUEST_LV_0100_20150730_007746	沒錯！ 就是這個咒術人偶！ 有好長一段時間沒用了，要先看看它還能不能啟動。
QUEST_LV_0100_20150730_007747	現在帶著這個人偶，去有聖物的地方看看吧。{nl}如果說讓這些屍體復活的主因就是這個聖物的話，咒術人偶就可以穿過結界並破壞聖物。
QUEST_LV_0100_20150730_007748	這就是父親使用過的咒術人偶。只要照著父親以前那樣用的話，就不會有什麼問題…只要照著父親以前那樣…
QUEST_LV_0100_20150730_007749	什麼…？ 你現在在說什麼？{nl}穿透結界進入墓地，然後用咒術人偶攻擊聖物的話，反而會讓咒術人偶壞掉？{nl}不可能啊…所為真正的女神的聖物，咒術人偶應該是不能破壞的啊…{nl}不過咒術人偶將結界喚醒的那股力量似乎就是邪惡氣息…{nl}
QUEST_LV_0100_20150730_007750	如果是跟女神有關的事，就不能讓我隨意處置。{nl}結界已解除，跟他說也要叫邪靈祭司觀察一下聖物。
QUEST_LV_0100_20150730_007751	嗚啊…結界真的已經解除了嗎？ 真厲害。{nl}嗯…關於咒術人偶…這人偶該不會是壞了吧？ 這可是澤米娜女神的聖物，怎麼可能會是邪惡氣息。{nl}
QUEST_LV_0100_20150730_007752	總之，既然結界已經解除，就跟我一起去看看吧。我要親自去確認看看。{nl}可以先去那等我嗎？ 等儀式都準備好後，我馬上跟上。
QUEST_LV_0100_20150730_007753	咒術人偶…邪惡氣息…啊哈哈…守墓人也是一位有趣的人呢…
QUEST_LV_0100_20150730_007754	我…我看到了…那個怪物…守墓人是對的…剛剛那聖物不是澤米娜大人的物品！很抱歉我這麼我行我素…
