UI_20150317_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}
UI_20150317_001105	新人物生成
UI_20150317_001106	取消人物生成
UI_20150317_001107	{@st43}{s40}{gr gradation4}遊戲開始{/}
UI_20150317_001108	{@st43}{s40}{gr gradation4}結束預覽{/}
UI_20150317_001109	{@st43}{s40}{gr gradation4}回到地區{/}
UI_20150317_001110	{@st59}重新進入地區。{/}
UI_20150317_001111	{@st41b}返回{/}
UI_20150317_001112	{@st59}回到我的小屋。{/}
UI_20150317_001113	{@st43}{s24}小屋名稱{/}
UI_20150317_001114	{@st59}小屋名稱{/}
UI_20150317_001115	{@st41b}裝飾{/}
UI_20150317_001116	{@st59}裝飾小屋{/}
UI_20150317_001117	{@st41b}設定{/}
UI_20150317_001118	{@st59}小屋設定{/}
UI_20150317_001119	客制化道具frame
UI_20150317_001120	綠色
UI_20150317_001121	密度
UI_20150317_001122	體力嗎？
UI_20150317_001123	{@st59}頭飾{/}
UI_20150317_001124	{@st59}輔助飾品{/}
UI_20150317_001125	{@st42}文本{/}
UI_20150317_001126	基本內容名稱
UI_20150317_001127	基本群組名稱
UI_20150317_001128	基本道具名稱
UI_20150317_001129	金平直
UI_20150317_001130	重量：%s
UI_20150317_001131	별별벼려별
UI_20150317_001132	%s 種族
UI_20150317_001133	표례스텨(싱뮬형)
UI_20150317_001134	不可交易
UI_20150317_001135	不可強化
UI_20150317_001136	별별별별
UI_20150317_001137	道具名稱
UI_20150317_001138	若配戴此道具會如此這般。
UI_20150317_001139	幾級以上
UI_20150317_001140	誰都可以配戴
UI_20150317_001141	最大鑲嵌槽 %s個
UI_20150317_001142	道具名稱
UI_20150317_001143	商店販賣價格：%s 銀幣
UI_20150317_001144	多少
UI_20150317_001145	{@st42b}夏奧雷伊整體探勘率{/}
UI_20150317_001146	{@st42b}西邊樹林探勘率{/}
UI_20150317_001147	{@st18}道具{/}
UI_20150317_001148	{@st18}我的排名{/}
UI_20150317_001149	다이야
UI_20150317_001150	體力提升九泉
UI_20150317_001151	{@st18}平均{/}
UI_20150317_001152	{@st42b}{s18}熟練度{/}
UI_20150317_001153	{@st55_c}道具名稱
UI_20150317_001154	{@st55_c}紙條記錄
UI_20150317_001155	{@st59}輸入名稱，沒有輸入時，以基本名稱製作。{/}
UI_20150317_001156	{@st59}輸入紙條。{/}
UI_20150317_001157	{@st43}製作道具
UI_20150317_001158	{@st42b}%s 點{/}
UI_20150317_001159	{@st42b}%s 個{/}
UI_20150317_001160	{@st42b}%s 點{/}
UI_20150317_001161	{@st42b}%s 個{/}
UI_20150317_001162	{s16}{ol}單價
UI_20150317_001163	總金額：1
UI_20150317_001164	{@st41}小幫手
UI_20150317_001165	{@st41}照片相關說明
UI_20150317_001166	{@st41}登錄
UI_20150317_001167	{@st41}名稱
UI_20150317_001168	{@st41}訊息
UI_20150317_001169	{@st43}名稱{/}
UI_20150317_001170	{@st41b}訊息{/}
UI_20150317_001171	{@st42b}登入{/}
UI_20150317_001172	{@st41}建立新對話
UI_20150317_001173	{@st41}整體對話
UI_20150317_001174	地區名稱
UI_20150317_001175	{@st41}技能名稱
UI_20150317_001176	{@st41}特性點數
UI_20150317_001177	{@st41}職業名稱
UI_20150317_001178	角色名字
UI_20150317_001179	{@sti7}刪除{/}
UI_20150317_001180	角色等級
UI_20150317_001181	{@st42}任務共有{/}
UI_20150317_001182	{@st42}經驗值共有{/}
UI_20150317_001183	角色紙條
UI_20150317_001184	組隊平均等級：{#FFFF00}%s{/}
UI_20150317_001185	尋找的隊員：{#FFFF00}%s{/}
UI_20150317_001186	聖職者 / 弓箭手
UI_20150317_001187	任務共有：{#FFFF00}%s{/}
UI_20150317_001188	使用
UI_20150317_001189	經驗值分配規則：{#FFFF00}%s{/}
UI_20150317_001190	均等分配
UI_20150317_001191	道具分配規則：{#FFFF00}%s{/}
UI_20150317_001192	隨機分配
UI_20150317_001193	我該怎麼辦
UI_20150317_001194	不知道是誰
UI_20150317_001195	{@st41b}已登錄於冒險日誌。
UI_20150317_001196	任務用選單物件
UI_20150317_001197	任務的種類
UI_20150317_001198	任務的清單物件
UI_20150317_001199	任務的清單物件-到此為止是以前的
UI_20150317_001200	路線圖上使用的line
UI_20150317_001201	欄位物件_一般用
UI_20150317_001202	欄位物件_現金欄位
UI_20150317_001203	角色詳細情報類型1
UI_20150317_001204	角色詳細情報類型2
UI_20150317_001205	背包清單類型1
UI_20150317_001206	背包清單類型2
UI_20150317_001207	背包欄位類型
UI_20150317_001208	在市場查看道具_詳細
UI_20150317_001209	道具名稱顯示
UI_20150317_001210	顯示剩下的數量
UI_20150317_001211	顯示值
UI_20150317_001212	裝在購物車時
UI_20150317_001213	顯示總金額
UI_20150317_001214	道具顯示用
UI_20150317_001215	顯示單價
UI_20150317_001216	道具種類
UI_20150317_001217	新消息
UI_20150317_001218	{@st42b}重新開始{/}
UI_20150317_001219	펠탕스탕
UI_20150317_001220	99 階
UI_20150317_001221	消滅布貝刀斧手8隻
UI_20150317_001222	Tool tip
UI_20150317_001223	EXP：sad{br}+1 附魔水晶 (攻擊)
UI_20150317_001224	見習生劍
UI_20150317_001225	修理耐久度：
UI_20150317_001226	修理費用：120 銀幣
UI_20150317_001227	修理費用：%s 銀幣
UI_20150317_001228	{@st42b}投標數量 {@sti7}%s{/}
UI_20150317_001229	{@st42b}目前價格 {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001230	{@st41}立即購買！{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001231	{@st41b}領取道具{/}
UI_20150317_001232	{@st42b}投標金額 {img icon_item_silver 20 20}{@st57} %s{/}
UI_20150317_001233	{@sti7}退還
UI_20150317_001234	{@st59}頭部{/}
UI_20150317_001235	{@st59}左手環{/}
UI_20150317_001236	{@st59}右手環{/}
UI_20150317_001237	{@st59}服裝{/}
UI_20150317_001238	{@st59}戒指2{/}
UI_20150317_001239	寵物名稱
UI_20150317_001240	雜貨商組合
UI_20150317_001241	西邊樹林等
UI_20150317_001242	NXP 消耗
UI_20150317_001243	種類名稱
UI_20150317_001244	我是小幫手。
UI_20150317_001245	{@sti7}%s 點{/}
UI_20150317_001246	{@st41b}%s 點數
UI_20150317_001247	任務清除 25個
UI_20150317_001248	- [副線] 荊棘林
UI_20150317_001249	{@st42}穿戴道具
UI_20150317_001250	{@st44}%s 職業階級情報{/}
UI_20150317_001251	第幾次轉職情報
UI_20150317_001252	heart嗎?
UI_20150317_001253	劍士
UI_20150317_001254	%s 等級
UI_20150317_001255	紙條：{#666666}%s
UI_20150317_001256	綾瀬
UI_20150317_001257	和%s 的關係徽章
UI_20150317_001258	已邀請{#FFFF33}%s{/} 成為好友。{/}
UI_20150317_001259	{@st41b}接受
UI_20150317_001260	{@st41b}拒絕
UI_20150317_001261	{@st53b}正在下載好友目錄。
UI_20150317_001262	等級 %s{/}
UI_20150317_001263	{@st41}取消
UI_20150317_001264	請登入要販賣的BUFF。
UI_20150317_001265	價格：%s{/}
UI_20150317_001266	剩餘數量
UI_20150317_001267	{@st41}購買
UI_20150317_001268	剩餘數量：%s{/}
UI_20150317_001269	{@st41}道具{/}
UI_20150317_001270	{@st41b}紙條
UI_20150317_001271	{@st41b}製作
UI_20150317_001272	{@st41b}價格：%s{/}
UI_20150317_001273	{@sti5}價格：%s{/}
UI_20150317_001274	{@sti9}組隊成員任務 (%s){/}
UI_20150317_001275	{@st41_yellow}探索率 %s%{/}
UI_20150317_001276	{@st41_yellow}獲得點數 %s{/}
UI_20150317_001277	{@st42b}{b}達成率{/}
UI_20150317_001278	{@st59}接受組隊任務進行。{/}
UI_20150317_001279	windows
UI_20150317_001280	狀態
UI_20150317_001281	分頁
UI_20150317_001282	圖片道具
UI_20150317_001283	效果
UI_20150317_001284	控制裝置
UI_20150317_001285	{@st41}難易度：%s
UI_20150317_001286	{@st42}剩餘時間：%s
UI_20150317_001287	{@st53}製造中的道具
UI_20150323_001288	{@st59}請放上道具{/}
UI_20150323_001289	{@st42}取消
UI_20150323_001290	{@st42}確認
UI_20150323_001291	{@st43}壓塊{/}
UI_20150323_001292	目前潛力
UI_20150323_001293	消耗材料
UI_20150323_001294	消耗數量
UI_20150323_001295	持有數量
UI_20150323_001296	{@sti6}交易紀錄
UI_20150323_001297	{@st43}據點
UI_20150323_001298	招牌名稱
UI_20150323_001299	{@st43}建設
UI_20150323_001300	{@stc1}據點維持時間
UI_20150323_001301	{@stc1}效果
UI_20150323_001302	{@stc1}消耗材料及費用
UI_20150323_001303	{@st41b}據點
UI_20150323_001304	{@st41b}紀錄
UI_20150323_001305	{@st41b}時間更新
UI_20150323_001306	{@st59}更新維持時間{/}
UI_20150323_001307	{@st41b}據點維持時間
UI_20150323_001308	{@st41b}效果
UI_20150323_001309	{@st42b}更新時，可以維持24小時的額外據點。將會消耗%s銀幣。
UI_20150323_001310	{@st41b}個人倉庫
UI_20150323_001311	{@stc1}物品存放倉庫以及領出物品時，都會消耗%s銀幣。{/}
UI_20150323_001312	{@st41}{#ffff00}目標鎖定{/}
UI_20150323_001313	{@st43}配餐桌
UI_20150323_001314	{@st41b}食物種類
UI_20150323_001315	{@st41b}桌子
UI_20150323_001316	{@st59}關閉配餐桌。{/}
UI_20150323_001317	{@st43}魔法書{/}
UI_20150323_001318	{@st59}關閉魔法書畫面。{/}
UI_20150323_001319	我的召喚技能
UI_20150323_001320	主卡片
UI_20150323_001321	副卡片
UI_20150323_001322	狀態
UI_20150323_001323	體質
UI_20150323_001324	智力
UI_20150323_001325	敏捷
UI_20150323_001326	爆擊
UI_20150323_001327	{@st43}開設商店{/}
UI_20150323_001328	{@st41b}設定
UI_20150323_001329	單一價格
UI_20150323_001330	{@st41b}材料目錄
UI_20150323_001331	{@st43}烘焙寶石{/}
UI_20150323_001332	{@st59}關閉UI視窗。{/}
UI_20150323_001333	{@st41b}修理{/}
UI_20150323_001334	{@st41b}紀錄{/}
UI_20150323_001335	接收價格
UI_20150323_001336	{@st59}請放上寶石。{/}
UI_20150323_001337	消耗材料
UI_20150323_001338	剩餘數量
UI_20150323_001339	{@st42}關店
UI_20150323_001340	{@st43}武器修理{/}
UI_20150323_001341	{@st43}裝備修理{/}
UI_20150323_001342	{@st41b}接收價格
UI_20150323_001343	{@st41b}消耗材料
UI_20150323_001344	{@st43}修理{/}
UI_20150323_001345	{@st41b}修理{/}
UI_20150323_001346	技能等級
UI_20150323_001347	{@st41}可入場人數
UI_20150323_001348	{@st43}道具覺醒地下城
UI_20150323_001349	{@st41}所需材料
UI_20150323_001350	{@st59}所需材料{/}
UI_20150323_001351	建議等級：%s
UI_20150323_001352	{@st43}UI選擇模式{/}
UI_20150323_001353	{@st43}委託購買商店
UI_20150323_001354	商店名稱
UI_20150323_001355	{@st41b}開設商店
UI_20150323_001356	{@st59}開設委託購買商店。{/}
UI_20150323_001357	{@st59}取消{/}
UI_20150323_001358	{@st59}關閉委託購買商店。{/}
UI_20150323_001359	委託購買
UI_20150323_001360	{@st59}關閉委託購買商店。
UI_20150323_001361	{@st59}委託購買商店{nl} - 將所持有的物品可以兌換為銀幣。
UI_20150323_001362	{@st43}委託人想要購賣的物品{/}
UI_20150323_001363	{@st43}將要販售的物品
UI_20150323_001364	{@st43}總收入
UI_20150323_001365	{@st41}販賣
UI_20150323_001366	{@st41}鍊金材料
UI_20150323_001367	{@st41}鍊金對象{@stx1}(需要%s){/}
UI_20150323_001368	{@st59}召喚寵物。{/}
UI_20150323_001369	{@st41b}角色設定{/}
UI_20150323_001370	{@st59}魔法書{/}
UI_20150323_001371	{@st41b}套用虛化效果{/}
UI_20150323_001372	{@st41b}套用漸暈效果{/}
UI_20150323_001373	{@st41b}套用FXAA{/}
UI_20150323_001374	{@st41b}套用GLOW{/}
UI_20150323_001375	{@st41b}套用Depth{/}
UI_20150323_001376	{@st41b}套用SoftParticle{/}
UI_20150323_001377	{@st43}個人倉庫{/}
UI_20150323_001378	{@st59}將會關閉個人倉庫。{/}
UI_20150323_001379	{@sti6}物品存放倉庫以及領出物品時，都會消耗%s銀幣。{/}
UI_20150323_001380	{@st59}使用Alt+Z可切換武器{/}
UI_20150323_001381	{@st59}儲存住處設定。{/}
UI_20150323_001382	住處變更
UI_20150323_001383	{@st59}關閉住處變更視窗。
UI_20150323_001384	{@st59}住處變更{nl} - 變更住處之後，可以變更地圖以及擴充人數。
UI_20150323_001385	{@st41}取消預覽
UI_20150323_001386	{@st46}我的NXP：%s{/}
UI_20150323_001387	{@st41b}住處變更{/}
UI_20150323_001388	{@st59}住處裝潢{/}
UI_20150323_001389	{@st41b}住處設定{/}
UI_20150323_001390	{@st59}變更住處設定。{/}
UI_20150323_001391	{@st45ty}角色的問候語{/}
UI_20150323_001392	{@st45ty}委託購買商店
UI_20150323_001393	{@st41b}變更
UI_20150323_001394	{@st59}將會變更角色的問候語。{/}
UI_20150323_001395	{@st59}設定委託購買商店。{/}
UI_20150323_001396	購買數量: %s{/}
UI_20150323_001397	搜尋要購買的道具
UI_20150323_001398	購買數量
UI_20150323_001399	單一價格
UI_20150323_001400	{@sti5}%s個{/}
UI_20150323_001401	{@st41}食用
UI_20150323_001402	{@st41}製作
UI_20150323_001403	{@st41}製作數量
UI_20150323_001404	{@st41}消耗材料
UI_20150401_001405	{@st59}關閉壓塊視窗。{/}
UI_20150401_001406	{@st41}解除據點
UI_20150401_001407	{@st43}[%s 階]{/}
UI_20150401_001408	{@st43}技能{/}
UI_20150401_001409	{@st43}職業Tip{/}
UI_20150401_001410	職業Tip
UI_20150401_001411	{@st42}{#ffff00}目標鎖定{/}
UI_20150401_001412	{@st41}拆解桌子
UI_20150401_001413	{@st43}染料{/}
UI_20150401_001414	搖桿快捷鍵
UI_20150401_001415	{@st42}{#ffff00}鍵盤模式{/}
UI_20150401_001416	{@st43}開啟奉獻箱
UI_20150401_001417	{@st41b}開啟
UI_20150401_001418	{@st41b}奉獻箱
UI_20150401_001419	{@st41}奉獻箱名稱
UI_20150401_001420	支付金額
UI_20150401_001421	預估收益
UI_20150401_001422	所持金額
UI_20150401_001423	{@st45tw}奉獻箱物品詳細內容
UI_20150401_001424	{@st41}全部販售
UI_20150401_001425	{@st43}奉獻箱
UI_20150401_001426	奉獻
UI_20150401_001427	交易結算
UI_20150401_001428	預估餘額
UI_20150401_001429	{@st45tw}奉獻箱
UI_20150401_001430	{@st41}清空
UI_20150401_001431	{@st43}目前地區的玩家目錄{/}
UI_20150401_001432	{@st59}關閉管理者UI目錄。{/}
UI_20150401_001433	{@st41}組隊說明：
UI_20150401_001434	{s20}毒量{s28}{b}{#ff6600}%s
UI_20150401_001435	毒製造用材料道具
UI_20150401_001436	{@st41b}全部選擇{/}
UI_20150401_001437	{@st59}再點擊一次可以全部解除{/}
UI_20150401_001438	{@st41b}製造{/}
UI_20150401_001439	{@st59}混合攪拌{/}
UI_20150401_001440	{@st41b}成就{/}
UI_20150401_001441	髮色
UI_20150401_001442	可配戴的稱號
UI_20150401_001443	{@st41b}搖桿UI模式{/}
UI_20150401_001444	{@st41}{#ffffcc}名稱
UI_20150401_001445	{@st41}{#ffffcc}價格
UI_20150401_001446	{@st41}{#ffffcc}狀態
UI_20150401_001447	{@st41b}取消預覽
UI_20150401_001448	{@st41}{#ffff00}我的NXP：%s{/}
UI_20150401_001449	裝備中
UI_20150401_001450	說明：{#FFFF00}%s{/}
UI_20150401_001451	平均等級：{#FFFF00}%s{/}
UI_20150401_001452	條件
UI_20150401_001453	稱號   %s
UI_20150401_001454	獎勵   %s
UI_20150401_001455	{@st42}數量
UI_20150406_001456	{@st43}基地營地
UI_20150406_001457	{@st42}建設
UI_20150406_001458	{@st42}取消
UI_20150406_001459	{@stc1}營地維持時間
UI_20150406_001460	{@st41b}基地營地
UI_20150406_001461	{@st41b}營地維持時間
UI_20150406_001462	{@st42b}更新時，營地維持時間會增加24小時，{nl} 將會消耗%s銀幣。
UI_20150406_001463	{@st41}拆解營地
UI_20150406_001464	{@st42}拆解桌子
UI_20150406_001465	{@st59b}魔法師{nl}{@st59s} - 將卡片放上組牌欄位之後執行召喚術。{/}
UI_20150406_001466	{@st41}我的召喚技能
UI_20150406_001467	{@st41}狀態
UI_20150406_001468	{@st41b}奉獻箱名稱
UI_20150406_001469	{@st41b}奉獻箱物品詳細內容
UI_20150406_001470	{@st59}關閉委託購買商店。
UI_20150406_001471	{@st59b}委託購買商店{nl}{@st59s} - 將所持有的物品可以兌換為銀幣。
UI_20150406_001472	{@st41b}委託人要請的道具{/}
UI_20150406_001473	{@st41b}販售登記道具{/}
UI_20150406_001474	{@st41b}總收入
UI_20150406_001475	{@st41b}販售
UI_20150406_001476	{@st59}販售所登記的道具。{/}
UI_20150406_001477	{@st59}關閉個人倉庫。{/}
UI_20150406_001478	{@st41b}物品存放倉庫以及領出物品時，都會消耗%s銀幣。{/}
UI_20150406_001479	{@st41b}數量
UI_20150414_001480	{@st42b}更新時，營地維持時間增加，{nl}會消耗%s銀幣。
UI_20150414_001481	{@st41b}類型           {@sti7}%s{/}
UI_20150414_001482	{@st41b}操作難易度 {@sti7}%s{/}
UI_20150414_001483	{@st59b}  道具  {/}
UI_20150414_001484	{@st59b}  怪物  {/}
UI_20150414_001485	{@st59b}  地圖移動  {/}
UI_20150414_001486	{@st59b}  戰鬥命令  {/}
UI_20150414_001487	{s26}{b}個
UI_20150414_001488	{s26}{b}等級
UI_20150414_001489	{@st44}{s26}等級
UI_20150414_001490	{@st59b}{s26}隻
UI_20150414_001491	{@st41b}烹調
UI_20150414_001492	{@st41b}飲食
UI_20150414_001493	{@st42}拆卸配餐台
UI_20150414_001494	{@st41b}記錄{/}
UI_20150414_001495	{@st41}組隊說明
UI_20150414_001496	{@st41b}輸入{/}
UI_20150414_001497	烘焙等級 %s
UI_20150428_001498	{@st43}購買商店{/}
UI_20150428_001499	{@st41b}截止
UI_20150428_001500	{@st41b}提報Bug
UI_20150428_001501	{@st59}告知有問題的事項。{/}
UI_20150428_001502	如果提報Bug，那麼您從一開始到現在的遊戲畫面會傳送至伺服器。傳送的Replay檔案對於修正Bug會有很大的幫助，您要傳送檔案嗎？
UI_20150428_001503	{@st41b}Bug內容：{/}
UI_20150428_001504	{@st41b}Bug內容雖然不是非必要輸入事項，但是輸入內容對於分析問題會有幫助。
UI_20150428_001505	{@st41b}傳送
UI_20150428_001506	{@st42}{s14}{#ffff00}固定目標{/}
UI_20150428_001507	{@st59}和距離或方向轉換無關，固定目標。
UI_20150428_001508	組隊條件一致！
UI_20150428_001509	搖桿休息快捷鍵
UI_20150428_001510	{@st41b}休息模式
UI_20150428_001511	遊戲搖桿新手教學
UI_20150428_001512	{@st59}關閉遊戲搖桿說明。(M){/}
UI_20150428_001513	鍵盤新手教學
UI_20150428_001514	{@st44}登出{/}
UI_20150428_001515	{@st41b}幫手剩餘 (需要NXP %s個){/}
UI_20150428_001516	新增欄位費用：{#ff9933}%s{/}{nl}寶石移除費用：{#ff9933}%s{/}
UI_20150428_001517	{@st41b}寶石移除
UI_20150428_001518	{@st42}{s14}{#ffff00}UI 模式{/}
UI_20150428_001519	{@st59}使用鍵盤或是遊戲搖桿操控UI。
UI_20150428_001520	使用尋找隊員功能
UI_20150428_001521	使用尋找功能的角色中，如果遇見符合條件的角色，{nl}會顯示[組隊條件一致！]句子。
UI_20150428_001522	{@st41}遊戲風格{/}
UI_20150428_001523	任務進行
UI_20150428_001524	狩獵中心
UI_20150428_001525	活動進行
UI_20150428_001526	{@st41}等級差異{/}
UI_20150428_001527	無關係  /
UI_20150428_001528	{@st41}希望的職業系列{/}
UI_20150428_001529	{@st41b}退出組隊
UI_20150428_001530	{@st59}透過組隊說明進行檢索。{/}
UI_20150428_001531	{s18}{ol}{gr gradation1}幫手規則{/}
UI_20150428_001532	{@st59}執行製造。{/}
UI_20150428_001533	{@st45ty}髮色
UI_20150428_001534	{@st45ty}可配戴的稱號
UI_20150428_001535	{@st41_yellow}幫手技能
UI_20150428_001536	{@st41b}顯示其它角色名稱{/}
UI_20150428_001537	{@st43}UI 模式{/}
UI_20150428_001538	{@st41b}自動{/}
UI_20150428_001539	{@st41b}遊戲搖桿{/}
UI_20150428_001540	{@st41b}鍵盤{/}
UI_20150428_001541	遊戲搖桿
UI_20150428_001542	{@st59}遊戲搖桿說明{/}
UI_20150428_001543	鍵盤
UI_20150428_001544	{@st59}鍵盤說明{/}
UI_20150428_001545	{@st43}圖像設定{/}
UI_20150428_001546	{@st43}性能調整{/}
UI_20150428_001547	{@st41b}低規格模式{/}
UI_20150428_001548	{@st41b}自動調整{/}
UI_20150428_001549	{@st41b}不使用{/}
UI_20150428_001550	遊戲faq
UI_20150428_001551	人數：(%s/%s)
UI_20150428_001552	100級以上：(%s/%s)
UI_20150511_001553	{@st41}組隊邀請超連結
UI_20150714_001554	{@st66b}得標物品：%s個 / 流標物品：%s個{/}
UI_20150714_001555	{@st41b}交易記錄
UI_20150714_001556	{@st41b}解除跳躍
UI_20150714_001557	卡片大戰
UI_20150714_001558	{@st64}%s勝{/}
UI_20150714_001559	卡片決定
UI_20150714_001560	冒險指數 {#ffff00}%s{/} ({#ffff00}%s{/}名)
UI_20150714_001561	{@st66b}讚！
UI_20150714_001562	角色讚{#ffff00}%s{/}
UI_20150714_001563	{@st41b}解除配餐台
UI_20150714_001564	{@st42}我的召喚技能
UI_20150714_001565	{@st42}狀態
UI_20150714_001566	{@st42}目前位置：%s{/}
UI_20150714_001567	{@st59b}穿戴裝備{nl}{@st59s} - 髮型/套裝：穿戴可變更外型的道具{nl} - 武器：可配戴單手裝備及雙手裝備。{nl}   (配戴單手裝備時，可配戴副武器/盾牌。){nl} - 防具：穿戴上衣、下衣、手套、鞋子。{nl} - 飾品：配戴1個項鍊、2個手環。{nl}   (手環2利用Alt鍵比較查看/可配戴){/}
UI_20150714_001568	{@st43}%s 開設商店{/}
UI_20150714_001569	{@st41b}Roasting{/}
UI_20150714_001570	{@st66}選擇全部
UI_20150714_001571	{@st43}製作箭矢{/}
UI_20150714_001572	{@st59} 關閉UI。{/}
UI_20150714_001573	{@st66b}確認{/}
UI_20150714_001574	{@st66b}幫手剩餘(需要NXP %s個){/}
UI_20150714_001575	新增欄位費用：{#000000}%s{/} {nl}寶石萃取費用：{#000000}%s{/}
UI_20150714_001576	{ds}建議等級：%s
UI_20150714_001577	探勘率：50.0%
UI_20150714_001578	{@st45tw}[探勘率 %s%]{/}
UI_20150714_001579	>>詳細查看..
UI_20150714_001580	%s (%s 排名)
UI_20150714_001581	職業名稱
UI_20150714_001582	{@st41b}邀請
UI_20150714_001583	{@st41}想要用遊戲搖桿或滑鼠操控時，可以在系統選單的遊戲設定進行設定。{/}
UI_20150714_001584	如果遇見條件一致的角色，會顯示[組隊條件一致！]的句子。{nl}也會一直對尋求隊員的其它組隊推薦。
UI_20150714_001585	{@st42}遊戲風格{/}
UI_20150714_001586	{@st42}等級差異{/}
UI_20150714_001587	無關係
UI_20150714_001588	{@st42}希望的職業系列{/}
UI_20150714_001589	{@st42}組隊名稱：%s{/}
UI_20150714_001590	{@st42}組隊說明{/}
UI_20150714_001591	{@st42}輸入{/}
UI_20150714_001592	{@st42}道具分配規則
UI_20150714_001593	{@st42}經驗值分配規則
UI_20150714_001594	各自獲得
UI_20150714_001595	平均分配
UI_20150714_001596	等級差異
UI_20150714_001597	{@st42}任務共用
UI_20150714_001598	不使用
UI_20150714_001599	{@st42}登錄於公開組隊目錄{/}
UI_20150714_001600	希望等級
UI_20150714_001601	{@st42}使用隊員推薦功能{/}
UI_20150714_001602	根據距離
UI_20150714_001603	根據職業
UI_20150714_001604	根據等級
UI_20150714_001605	根據進行任務
UI_20150714_001606	根據交情
UI_20150714_001607	{@st42}組隊邀請超連結
UI_20150714_001608	>>查看組隊..
UI_20150714_001609	組隊名稱：%s
UI_20150714_001610	組隊介紹：%s
UI_20150714_001611	成立時間：%s 前
UI_20150714_001612	人數組成：%s/5
UI_20150714_001613	加入
UI_20150714_001614	{@st59}用組隊名稱及說明進行檢索。{/}
UI_20150714_001615	簡易小幫手內容
UI_20150714_001616	{@st43}訊息箱
UI_20150714_001617	{@st41b}整體
UI_20150714_001618	{@st41b}未讀訊息箱
UI_20150714_001619	{@st43}{s22}請選擇要接受道具的角色。{/}
UI_20150714_001620	{@st41b}強化
UI_20150714_001621	{@st66}修理所需道具目錄
UI_20150714_001622	{@st43}買賣聖職
UI_20150714_001623	{@st59}請放上技能。{/}
UI_20150714_001624	{@st59}關閉技能和特性{/}
UI_20150714_001625	{@st43}技能和特性{/}
UI_20150714_001626	剩餘的狀態點數 {nl}{@st46}%s
UI_20150714_001627	我獲得的讚！：%s個
UI_20150714_001628	{@st66b}顯示經驗值獲得量{/}
UI_20150714_001629	{@st66b}查看角色名稱{/}
UI_20150714_001630	{@st66b}只顯示隊伍名稱{/}
UI_20150714_001631	{@st66b}顯示其它角色名稱{/}
UI_20150714_001632	{@st66b}自動{/}
UI_20150714_001633	{@st66b}遊戲搖桿{/}
UI_20150714_001634	{@st66b}鍵盤{/}
UI_20150714_001635	{@st66b}滑鼠
UI_20150714_001636	{@st66b}全螢幕{/}
UI_20150714_001637	{@st66b}視窗模式{/}
UI_20150714_001638	{@st66b}效果音大小 (%s){/}
UI_20150714_001639	{@st66b}音樂大小 (%s){/}
UI_20150714_001640	{@st66b}整體聲音大小 (%s){/}
UI_20150714_001641	{@st66b}低規格模式{/}
UI_20150714_001642	{@st66b}自動調整{/}
UI_20150714_001643	{@st66b}不使用{/}
UI_20150714_001644	{@st66b}Bloom 套用{/}
UI_20150714_001645	{@st66b}Vignetting 套用{/}
UI_20150714_001646	{@st66b}FXAA 套用{/}
UI_20150714_001647	{@st66b}GLOW 套用{/}
UI_20150714_001648	{@st66b}Depth 套用{/}
UI_20150714_001649	{@st66b}SoftParticle 套用{/}
UI_20150714_001650	{@st66b}高規格texture 套用{/}
UI_20150714_001651	{@st66b}開啟垂直同步{/}
UI_20150714_001652	{@st66b}關閉垂直同步{/}
UI_20150714_001653	{@st66b}物品存放倉庫以及領出物品時，都會消耗%s銀幣。{/}
UI_20150714_001654	%s喜歡我。
UI_20150714_001655	{@st41}觀戰
UI_20150714_001656	{@st66b}結束觀戰
UI_20150714_001657	找到遊戲，要參加嗎？
UI_20150714_001658	{@st41}參加
UI_20150714_001659	{@st41}拒絕
UI_20150714_001660	比賽結束
UI_20150714_001661	死亡
UI_20150714_001662	傷害量
UI_20150714_001663	{@st41}回到地區
UI_20150714_001664	{@st41b}%s秒後移動至地區…{/}
UI_20150714_001665	{@st59}開啟訊息箱。{/}
UI_20150714_001666	{@st42}住處變更{/}
UI_20150714_001667	{@st42}住處設定{/}
UI_20150714_001668	{@st65}%s 分{/}
UI_20150714_001669	{@st65}%s 個{/}
UI_20150714_001670	{@st65}%s分{/}
UI_20150714_001671	{@st65}%s個{/}
UI_20150714_001672	相片說明
UI_20150714_001673	{#000000}%s 秒
UI_20150714_001674	{#000000}%s 配戴
UI_20150714_001675	組隊名稱：{#2c140c}%s{/}
UI_20150714_001676	說明：{#2c140c}%s{/}
UI_20150714_001677	平均等級： {#2c140c}%s{/}
UI_20150714_001678	尋找的隊員： {#2c140c}%s{/}
UI_20150714_001679	共有任務： {#2c140c}%s{/}
UI_20150714_001680	經驗值分配規則： {#2c140c}%s{/}
UI_20150714_001681	道具分配規則： {#2c140c}%s{/}
UI_20150714_001682	組隊愉快嗎？
UI_20150714_001683	{@st42}%s已服用%s。
UI_20150714_001684	{@st42}%s已強化%s。
UI_20150714_001685	紙條：%s
UI_20150714_001686	{@st59}於欄位上添加材料道具。{/}
UI_20150714_001687	{@st66b}價格：%s{/}
UI_20150714_001688	角色問候語
UI_20150714_001689	購買委託商店
UI_20150714_001690	%s 個
