QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150323_004789	回到祈願森林
QUEST_LV_0200_20150323_004790	已從雕刻家泰斯拉那裡聽來了修復女神像的方法。為了修復女神像，請回到祈願森林。
QUEST_LV_0200_20150323_004791	觀察女神像
QUEST_LV_0200_20150323_004792	請先好好觀察女神像。在修復女神像之前，必須先知道它有什麼問題。
QUEST_LV_0200_20150323_004793	收集修復女神像所需的材料
QUEST_LV_0200_20150323_004794	請依照雕刻家泰斯拉的建議去收集修復女神像的材料。石膏碎片可以從怪獸身上以及在蘆葦上的清晨露水上採集到。
QUEST_LV_0200_20150323_004795	修復女神像
QUEST_LV_0200_20150323_004796	已收集到修復所需的所有材料。請回去修復女神像。
QUEST_LV_0200_20150323_004797	觀察女神像是否成功修好
QUEST_LV_0200_20150323_004798	修復女神像完畢。請再次觀察女神像是否有成功修好。
QUEST_LV_0200_20150323_004799	破壞魔族召喚陣
QUEST_LV_0200_20150323_004800	辛辛苦苦修復的女神像竟然是假的。不知道魔族召喚陣上會發生什麼事，還是趕快破壞掉這個假的女神像比較好。
QUEST_LV_0200_20150323_004801	聖所已經被汙染了。請消滅湧入聖所的怪物。
QUEST_LV_0200_20150323_004802	這個聖所的管理者是牧師大師。為了淨化被汙染的聖所，請去問他該怎麼做才好。
QUEST_LV_0200_20150323_004803	聽牧師大師的建議
QUEST_LV_0200_20150323_004804	請向牧師大師索取關於祈願森林被汙染的聖所的建議。
QUEST_LV_0200_20150323_004805	已向牧師大師索取到關於淨化被汙染的聖所的方法的建議。請重新回到祈願森林的聖所。
QUEST_LV_0200_20150323_004806	尋找聖所裡的信仰的標誌
QUEST_LV_0200_20150323_004807	牧師大師為了應付這種時刻，已經將聖所裡的信仰的標誌藏起來了。請找出聖所裡的信仰標誌。
QUEST_LV_0200_20150323_004808	尋找聖所的徽章並在聖所內燒掉
QUEST_LV_0200_20150323_004809	依照牧師大師所教的，使用神聖的標誌並找出被怪物吞掉的聖所徽章。
QUEST_LV_0200_20150323_004810	在聖所內燒掉聖所的徽章
QUEST_LV_0200_20150323_004811	已找到聖所的徽章。為了淨化聖所，請燒掉徽章。
QUEST_LV_0200_20150323_004812	去拉薛基歐市內裝清澈的水回來
QUEST_LV_0200_20150323_004813	如果想在聖所內收到祝福，好像需要清澈的水。請去拉薛基歐市內的墊腳石那裝清澈的水回來。
QUEST_LV_0200_20150323_004814	已帶回清澈的水。請帶著水去聖所並膜拜。
QUEST_LV_0200_20150323_004815	膜拜瓦卡麗涅女神像
QUEST_LV_0200_20150323_004816	隱居者的家附近有拜瓦卡麗涅女神像。請膜拜女神像。
QUEST_LV_0200_20150323_004817	女神像守護
QUEST_LV_0200_20150323_004818	一膜拜女神像，女神像就開始遭到攻擊。請消除蔓延至女神像的針刺藤蔓並守護女神像不受湧入的怪物傷害。
QUEST_LV_0200_20150323_004819	獻花
QUEST_LV_0200_20150323_004820	這個聖所好像要獻花。請去周圍摘點草花來獻給聖所並膜拜。
QUEST_LV_0200_20150323_004821	花都準備好了，現在請向聖所獻花並接收祝福。
QUEST_LV_0200_20150323_004822	索取寬恕者大師的建議
QUEST_LV_0200_20150323_004823	這間聖所似乎也受到了污染，請趕快前去找聖所管理者寬恕者大師並向他索取建議。若在旁邊的販賣台購買佩迪米安城外傳送卷軸，就能夠隨心所欲地移動。
QUEST_LV_0200_20150323_004824	淨化聖所的汙染
QUEST_LV_0200_20150323_004825	寬恕者大師購入的淨化符好像能稍微淨化一下聖所。請在聖所前燒掉淨化符。
QUEST_LV_0200_20150323_004826	詢問寬恕者大師淨化聖所的方法
QUEST_LV_0200_20150323_004827	一膜拜聖所，怪物就從某處跑出來了。建議先消滅怪獸比較好。
QUEST_LV_0200_20150323_004828	膜拜聖所後並接受祝福
QUEST_LV_0200_20150323_004829	好在聖所好像還沒有受到汙染。請再次膜拜聖所並接受祝福。
QUEST_LV_0200_20150323_004830	有一位朝聖者暈倒在亞希梅斯堤交叉路的賽斯堤內荒野上。請靠近詢問他發生了什麼事。
QUEST_LV_0200_20150323_004831	朝聖者泰伍皮里斯正著急的在呼喚你。請靠近點跟他說話。
QUEST_LV_0200_20150323_004832	在怪物身上搜索泰伍皮里斯的包包
QUEST_LV_0200_20150323_004833	朝聖者泰伍皮里斯說這個地方瀰漫著詛咒，會製作藥品給你，但必須先幫他找出包包才行。請帶回被怪物帶走的泰伍皮里斯包包。
QUEST_LV_0200_20150323_004834	交給朝聖者泰伍皮里斯
QUEST_LV_0200_20150323_004835	找到朝聖者泰伍皮里斯的包包了。請還給主人。
QUEST_LV_0200_20150323_004836	從怪物身上找回 %s
QUEST_LV_0200_20150323_004837	找回包包的朝聖者泰伍皮里斯正在檢查包包。為了拿到說好的藥物，請再次進行對話。
QUEST_LV_0200_20150323_004838	收集蘆葦樹液結晶
QUEST_LV_0200_20150323_004839	朝聖者泰伍皮里斯很尷尬的說有一瓶藥瓶破了。請從寄生在賽斯堤內荒野上方的大葉片蘆葦的根上面的怪物身上帶回蘆葦樹液結晶。
QUEST_LV_0200_20150323_004840	已帶回所有蘆葦樹液結晶。現在請將材料帶給朝聖者泰伍皮里斯。
QUEST_LV_0200_20150323_004841	吃了朝聖者泰伍皮里斯給的藥後，感受到了微妙的氣息。試著再和泰伍皮里斯交談。
QUEST_LV_0200_20150323_004842	搜查衛塔斯的攜帶品
QUEST_LV_0200_20150323_004843	朝聖者泰伍皮里斯想讓同事衛塔斯變回原來的樣子。請搜查相會廣場和威德羅卡入口的墓碑附近找出衛塔斯的攜帶品。
QUEST_LV_0200_20150323_004844	交給朝聖者衛塔斯
QUEST_LV_0200_20150323_004845	已找到所有衛塔斯的物品了。請將找到的物品交給朝聖者衛塔斯。
QUEST_LV_0200_20150323_004846	尋找畫的碎片
QUEST_LV_0200_20150323_004847	雖然在墓碑附近發現了小相框，但只留下了畫的一部分。說不定能夠從周圍的怪物身上找到剩下的畫。
QUEST_LV_0200_20150323_004848	獵殺怪物尋找 %s
QUEST_LV_0200_20150323_004849	獵殺怪物後尋找畫的碎片
QUEST_LV_0200_20150323_004850	被丟棄在威德羅卡入口的箱子
QUEST_LV_0200_20150323_004851	在威德羅卡入口有一個貌似被丟棄的箱子。請觀察一下原因。
QUEST_LV_0200_20150323_004852	沒看到箱子的鑰匙。有可能被怪物們吃掉了，請消滅周圍的怪物。
QUEST_LV_0200_20150323_004853	打開箱子
QUEST_LV_0200_20150323_004854	找到鑰匙了！ 現在打開箱子看看。
QUEST_LV_0200_20150323_004855	消滅怪獸獲得鑰匙
QUEST_LV_0200_20150323_004856	亞希梅斯堤交叉路唯一的泉水看起來非常混濁。說不定能在泉附近打聽到淨化的方法。
QUEST_LV_0200_20150323_004857	在兄弟之樹設置能收集樹液的甕
QUEST_LV_0200_20150323_004858	請找出泉附近能裝樹液的甕。請帶著這些甕，將它們設置在尼艾卡斯原野周圍的兄弟之樹下方。
QUEST_LV_0200_20150323_004859	請找出泉附近能裝樹液的甕。請帶著這些甕，將它們設置在尼艾卡斯原野周圍的樹下方。
QUEST_LV_0200_20150323_004860	用兄弟之樹的樹液來淨化寂靜之泉
QUEST_LV_0200_20150323_004861	設置的樹液甕已經累積了一點樹液。請用收集到的樹液來淨化寂靜之泉。
QUEST_LV_0200_20150323_004862	用樹液來淨化寂靜之泉的話，信心樹木好像就能讓我找回我的力量。請向泉水潑灑樹液。
QUEST_LV_0200_20150323_004863	邪惡氣息的出現
QUEST_LV_0200_20150323_004864	一救回信心樹木，來歷不明又強大的邪惡氣息就出現在流動商人簡易營地裡。請快去看一下。
QUEST_LV_0200_20150323_004865	在亞希梅斯堤交叉路上迷惑朝聖者的罪魁禍首－夢魔出現了。請消滅夢魔。
QUEST_LV_0200_20150323_004866	消滅正在守護隱藏空間的怪物
QUEST_LV_0200_20150323_004867	要解決帕歐皮斯渡口的案件這條路好像還很長呢。請問王室調查團普雷伊現在該做什麼才好。
QUEST_LV_0200_20150323_004868	離帕歐皮斯渡口的可怕案件的真相越來越近的感覺。請再次與王室調查團優寇特進行對話。
QUEST_LV_0200_20150323_004869	在波塞林奇斯森林能看到凹陷處。請靠近仔細觀察。
QUEST_LV_0200_20150323_004870	在波塞林奇斯森林裡有可疑的寶箱。請靠近仔細觀察。
QUEST_LV_0200_20150323_004871	與大迴廊的主教亞烏雷利屋斯對話
QUEST_LV_0200_20150323_004872	已獲得梅伊班的第一把鑰匙。請與在大迴廊等候多時的主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004873	解開慈愛的講台的秘密
QUEST_LV_0200_20150323_004874	請按住所有阿爾卡禮拜室和接見室的腳凳並解開慈愛的講台的秘密。如果解秘密有困難的話，請接受主教亞烏雷利屋斯的幫助。
QUEST_LV_0200_20150323_004875	獲得梅伊班的第二把鑰匙
QUEST_LV_0200_20150323_004876	已解開秘密。請獲得在慈愛平台上的梅伊班的第二把鑰匙。
QUEST_LV_0200_20150323_004877	與在烏歐利艾禮拜室的主教亞烏雷利屋斯對話
QUEST_LV_0200_20150323_004878	請經過大迴廊上方的懺悔路後再回到大迴廊去找主教亞烏雷利屋斯。
QUEST_LV_0200_20150323_004879	消滅覬覦靈力信物的魔族
QUEST_LV_0200_20150323_004880	那柯堤斯的手下們打算摧毀梅伊班的秘密然後獲得靈力信物。請消滅魔族取得靈力信物。
QUEST_LV_0200_20150323_004881	獲得靈力信物
QUEST_LV_0200_20150323_004882	已消滅所有覬覦靈力信物的魔族。請獲得靈力信物。
QUEST_LV_0200_20150323_004883	好險靈力信物都完好無缺。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004884	幫靈力信物充電
QUEST_LV_0200_20150323_004885	在使用靈力信物後，請消滅魔族並替它補充魔力。如果任何有困難的話，請呼換主教亞烏雷利屋斯並接受他的幫助。
QUEST_LV_0200_20150323_004886	在貝伊尼卡祭壇獲得梅伊班的第三把鑰匙
QUEST_LV_0200_20150323_004887	請在貝伊尼卡祭壇使用靈力信物並獲得梅伊班的第三把鑰匙。
QUEST_LV_0200_20150323_004888	與祭司路歐德爾對話
QUEST_LV_0200_20150323_004889	祭司路歐德爾需要你的幫助。請與祭司路歐德爾進行對話。
QUEST_LV_0200_20150323_004890	尋找與那柯堤斯有關的文獻
QUEST_LV_0200_20150323_004891	找到能幫忙解開那柯提斯詛咒的文獻了。請與祭司路歐德爾進行對話。
QUEST_LV_0200_20150323_004892	與祭司約瑟那對話
QUEST_LV_0200_20150323_004893	祭司約瑟那好像很為難的樣子。請與祭司約瑟那進行對話。
QUEST_LV_0200_20150323_004894	找回祭司約瑟那的研究資料
QUEST_LV_0200_20150323_004895	在祭司約瑟那一不留神的時後資料就不見了，她懷疑可能是魔族們的所為。請消滅魔族並找回祭司約瑟那的研究資料。
QUEST_LV_0200_20150323_004896	已找回祭司約瑟那所有的研究資料。請交給祭司約瑟那。
QUEST_LV_0200_20150323_004897	找回%s
QUEST_LV_0200_20150323_004898	與祭司大朗對話
QUEST_LV_0200_20150323_004899	祭司大朗需要你的幫助。請與祭司大朗進行對話。
QUEST_LV_0200_20150323_004900	對魔族使用淨化的卷軸並收集溶劑
QUEST_LV_0200_20150323_004901	祭司大朗說製作藥物需要大量的溶劑。請對魔族使用淨化的卷軸並收集溶劑。
QUEST_LV_0200_20150323_004902	已收集到足夠的混濁溶劑。請交給祭司大朗。
QUEST_LV_0200_20150323_004903	祭司大朗好像正專心思考著什麼。請與祭司大朗進行對話。
QUEST_LV_0200_20150323_004904	將祭司大朗做的藥拿去對魔族做實驗
QUEST_LV_0200_20150323_004905	祭司大朗雖然做出了能解開詛咒的藥物，但還需要做臨床實驗。請對魔族們實驗祭司大朗做的藥。
QUEST_LV_0200_20150323_004906	能看出藥的各種效果。請告訴祭司大朗實驗後的藥效結果。
QUEST_LV_0200_20150323_004907	消滅那柯堤斯的手下利泰力斯
QUEST_LV_0200_20150323_004908	與祭司阿爾莉莎對話
QUEST_LV_0200_20150323_004909	祭司阿爾莉莎好像需要幫助。請與祭司阿爾莉莎進行對話。
QUEST_LV_0200_20150323_004910	採集月薊
QUEST_LV_0200_20150323_004911	祭司阿爾莉莎雖然想要治療被施展詛咒的朝聖者，但因為太危險了根本無法取得藥材。請為了祭司阿爾莉莎去採集月薊。
QUEST_LV_0200_20150323_004912	交給祭司阿爾莉莎
QUEST_LV_0200_20150323_004913	已收集到滿滿的月薊。請交給祭司阿爾莉莎。
QUEST_LV_0200_20150323_004914	藥好像都完成了。請與祭司阿爾莉莎進行對話。
QUEST_LV_0200_20150323_004915	從周圍的怪物身上收集肉
QUEST_LV_0200_20150323_004916	祭司阿爾莉莎說雖然藥已經完成，但這種狀態他們是絕對不會來吃的。為了消滅周圍的怪物，請帶回能夠放入藥物的肉。
QUEST_LV_0200_20150323_004917	已帶回所有能蓋掉藥味的肉了。請交給祭司阿爾莉莎。
QUEST_LV_0200_20150323_004918	與祭司露亞那對話
QUEST_LV_0200_20150323_004919	祭司露亞那說他找到施展詛咒的實體了。請與祭司露亞那進行對話。
QUEST_LV_0200_20150323_004920	消滅詛咒的實體
QUEST_LV_0200_20150323_004921	暴露在外的詛咒實體就是死靈查普利。請消滅死靈查普利。
QUEST_LV_0200_20150323_004922	已成功消滅詛咒的實體死靈查普利。請與祭司露亞那進行對話。
QUEST_LV_0200_20150323_004923	祭司阿爾莉莎已將藥放入肉裡了。請與祭司阿爾莉莎進行對話。
QUEST_LV_0200_20150323_004924	餵朝聖者摻了藥的肉
QUEST_LV_0200_20150323_004925	請餵受到詛咒的朝聖者摻了藥的肉。必須餵到出現藥效為止。
QUEST_LV_0200_20150323_004926	吃了摻了藥的肉的朝聖者好像開始好轉了。請回到祭司阿爾莉莎身邊告訴她這件事。
QUEST_LV_0200_20150323_004927	祭司露亞那需要你的幫助。請與祭司露亞那進行對話。
QUEST_LV_0200_20150323_004928	啟動淨化的祭壇
QUEST_LV_0200_20150323_004929	祭司露亞那說懺悔路裡的詛咒跟那柯堤斯的種類不一樣，打算要查明詛咒的實體是什麼。請啟動懺悔路裡的淨化的祭壇。
QUEST_LV_0200_20150323_004930	已啟動所有懺悔路裡的淨化的祭壇。請與祭司露亞那進行對話。
QUEST_LV_0200_20150323_004931	與朝聖者歐比爾對話
QUEST_LV_0200_20150323_004932	朝聖者歐比爾在看到變成屍體歸來的朋友後啞口無言。請與朝聖者歐比爾進行對話。
QUEST_LV_0200_20150323_004933	消滅拉米比耶丘陵的怪物
QUEST_LV_0200_20150323_004934	雖然朝聖者歐比爾想將朋友埋在拉米比耶絕壁裡，但因為怪物的關係很難做到。請為了朝聖者歐比爾的朋友，消滅拉米比耶絕壁的怪物。
QUEST_LV_0200_20150323_004935	這樣的話拉米比耶丘陵大概就安全了。請與朝聖者歐比爾對話。
QUEST_LV_0200_20150323_004936	已準備好朝聖者歐比爾朋友的葬禮。請與朝聖者歐比爾進行對話。
QUEST_LV_0200_20150323_004937	前往拉米比耶絕壁
QUEST_LV_0200_20150323_004938	朝聖者歐比爾為了埋葬他的好友前往拉米比耶絕壁。請跟隨他前往拉米比耶丘陵。
QUEST_LV_0200_20150323_004939	幸好朝聖者歐比爾安全地躲過一劫。請與朝聖者歐比爾進行對話。
QUEST_LV_0200_20150323_004940	獲得第三個鑰匙了。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004941	尋找記載有於至聖所變身成魔族的方法的文獻
QUEST_LV_0200_20150323_004942	在尋找鑰匙之前，主教亞烏雷利屋斯必須先找到記載有於至聖所變身成魔族的方法的文獻。請在至聖所尋找記載有變身成魔族的方法的文獻。
QUEST_LV_0200_20150323_004943	找到了記錄著變身為魔族的方法的文獻。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004944	為了變身為魔族，已取得所有需要的材料。想得知下一步該怎麼做，就請和主教亞烏雷利屋斯對話。
QUEST_LV_0200_20150323_004945	在虔誠的祭壇裡完成魔族變身卷軸
QUEST_LV_0200_20150323_004946	主教亞烏雷利屋斯說可在虔誠的祭壇裡完成製作魔族變身卷軸。在魔族變身卷軸完成的同時，請阻擋蜂擁而上的魔族們。
QUEST_LV_0200_20150323_004947	已順利完成魔族變身卷軸。請回到主教亞烏雷利屋斯。
QUEST_LV_0200_20150323_004948	一切準備就緒。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004949	將魔族引誘至卡烏爾雷祭壇
QUEST_LV_0200_20150323_004950	使用魔族變身卷軸後與魔族搭話，並將其引誘至卡烏爾雷祭壇。
QUEST_LV_0200_20150323_004951	已將足夠的魔族引誘至卡烏爾雷祭壇。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004952	獲得梅伊班的第四把鑰匙
QUEST_LV_0200_20150323_004953	一切準備就緒。請回到魔族所在的卡烏爾雷祭壇，並搶走梅伊班的第四把鑰匙。
QUEST_LV_0200_20150323_004954	現在該去取得梅伊班的第四把鑰匙了。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004955	解開小接見室的秘密，獲得梅伊班的第五把鑰匙
QUEST_LV_0200_20150323_004956	請在小接見室裡解開梅伊班的秘密並獲得鑰匙。要是無法解開秘密的話，就呼喚主教亞烏雷利屋斯並聽他的提示。
QUEST_LV_0200_20150323_004957	獲得了所有鑰匙。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004958	進入帕薩拉祭壇
QUEST_LV_0200_20150323_004959	到帕薩拉祭壇去，那裡能通往主教亞烏雷利屋斯躲藏的房間。
QUEST_LV_0200_20150323_004960	抵達了帕薩拉祭壇。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004961	使用鑰匙並找到隱藏的通道
QUEST_LV_0200_20150323_004962	請在珠子前面使用背包的鑰匙，並找到隱藏的通道。要是無法解開秘密的話，就請呼喚主教亞烏雷利屋斯。
QUEST_LV_0200_20150323_004963	利用傳點，移動到隱藏的房間
QUEST_LV_0200_20150323_004964	梅伊班的鑰匙已使用完畢。請利用傳點，移動到隱藏的房間。
QUEST_LV_0200_20150323_004965	請開始通往帕薩拉祭壇的門。
QUEST_LV_0200_20150323_004966	與祭司普羅基特對話
QUEST_LV_0200_20150323_004967	收集散播詛咒的寶珠
QUEST_LV_0200_20150323_004968	聽說在至聖所到處都是散播詛咒的寶珠。由於無法靠一般的方法來破壞寶珠，請收集完畢之後交給祭司普羅基特。
QUEST_LV_0200_20150323_004969	交給祭司普羅基特
QUEST_LV_0200_20150323_004970	已收集到所有詛咒的寶珠。請交給祭司普羅基特。
QUEST_LV_0200_20150323_004971	與祭司高達對話
QUEST_LV_0200_20150323_004972	祭司高達看起來很心煩意亂。請和祭司高達對話。
QUEST_LV_0200_20150323_004973	優智瑪拜堂講台的調查
QUEST_LV_0200_20150323_004974	祭司高達要求收拾掉偽裝成梅伊班之秘密的魔族。請調查優智瑪拜堂的祭壇並除掉魔族。
QUEST_LV_0200_20150323_004975	已找到並除掉了偽裝成梅伊班之秘密的魔族。請告訴祭司高達。
QUEST_LV_0200_20150323_004976	除掉克羅洛鐘
QUEST_LV_0200_20150323_004977	通往隱藏的房間之傳點已經開啟。請和主教亞烏雷利屋斯討論下一步該怎麼做。
QUEST_LV_0200_20150323_004978	通過證明的試驗
QUEST_LV_0200_20150323_004979	啟示的祭壇所在的房間已關閉。請通過梅伊班準備的最後一個試驗。
QUEST_LV_0200_20150323_004980	獲得大教堂的啟示石燈
QUEST_LV_0200_20150323_004981	請在啟示的祭壇前面翻開靈魂的經典，並獲得大教堂的啟示。
QUEST_LV_0200_20150323_004982	主教亞烏雷利屋斯看著記載著變身成魔族的方法的文獻，陷入了沉思。請與主教亞烏雷利屋斯進行對話。
QUEST_LV_0200_20150323_004983	收集魔族的衣角
QUEST_LV_0200_20150323_004984	主教亞烏雷利屋斯要求找來製造魔族變身卷軸所需的材料。請除掉魔族並收集衣角。
QUEST_LV_0200_20150323_004985	交給主教亞烏雷利屋斯
QUEST_LV_0200_20150323_004986	已收集到所有的魔族衣角。請回到主教亞烏雷利屋斯那裡。
QUEST_LV_0200_20150323_004987	看到了坐立不安的朝聖者歐比爾。請與朝聖者歐比爾進行對話。
QUEST_LV_0200_20150323_004988	搜索朝聖者歐比爾的朋友
QUEST_LV_0200_20150323_004989	朝聖者歐比爾因為被怪物追殺而和朋友失散了。請找出朝聖者歐比爾的朋友。
QUEST_LV_0200_20150323_004990	朝聖者歐比爾的朋友已成了一具冰冷的屍體。似乎得告訴朝聖者歐比爾這個悲傷的消息。
QUEST_LV_0200_20150323_004991	去找塔達斯
QUEST_LV_0200_20150323_004992	阿雷魯諾男爵領的某個人似乎需要你的幫助。請上前看看吧。
QUEST_LV_0200_20150323_004993	找來堅韌的繩子
QUEST_LV_0200_20150323_004994	塔達斯說用來綁糧食袋的繩子不夠，要你去取得更多的繩子。請狩獵怪物並取得繩子吧。
QUEST_LV_0200_20150323_004995	轉交堅韌的繩子
QUEST_LV_0200_20150323_004996	已成功取得塔達斯要的繩子。請轉交給塔達斯。
QUEST_LV_0200_20150323_004997	從怪物身上收集 %s
QUEST_LV_0200_20150323_004998	到怪物那找來堅韌的繩子
QUEST_LV_0200_20150323_004999	與塔達斯對話
QUEST_LV_0200_20150323_005000	請與塔達斯對話。
QUEST_LV_0200_20150323_005001	答應塔達斯的請求
QUEST_LV_0200_20150323_005002	塔達斯說有個地方是專門堆放垃圾袋的，要請你把那些東西處理一下。請將垃圾丟棄至懸崖。
QUEST_LV_0200_20150323_005003	處理布袋
QUEST_LV_0200_20150323_005004	好像哪裡不太對勁。似乎得打開布袋看看。
QUEST_LV_0200_20150323_005005	搭話
QUEST_LV_0200_20150323_005006	布袋裡出現了人類！看了覺得心情有點差，不過一切要跟他搭話看看才知道。
QUEST_LV_0200_20150323_005007	嘗試對話
QUEST_LV_0200_20150323_005008	到底是什麼事？塔達斯要你丟掉的布袋裡跑出了一個人。為了得知原委，似乎得向前去攀談了。
QUEST_LV_0200_20150323_005009	尋找馬鈴薯糕
QUEST_LV_0200_20150323_005010	亞武努斯要求找出他在草堆裡藏的食物。首先請先翻找周圍的草堆。
QUEST_LV_0200_20150323_005011	交出找到的食物
QUEST_LV_0200_20150323_005012	亞武努斯要找的東西，似乎是這個乾扁的麵包。就算不是也沒辦法了，就先拿給亞武努斯吧。
QUEST_LV_0200_20150323_005013	與亞武努斯對話
QUEST_LV_0200_20150323_005014	請再次和亞武努斯對話。
QUEST_LV_0200_20150323_005015	亞武努斯說他沒空聽別人說話，直接就回家了。請先把這件事告訴塔達斯。
QUEST_LV_0200_20150323_005016	拜訪司泰巴斯
QUEST_LV_0200_20150323_005017	在阿雷魯諾男爵領的人好像需要幫忙。請靠近點跟他說話。
QUEST_LV_0200_20150323_005018	得到巨魔蠍的毒
QUEST_LV_0200_20150323_005019	司泰巴斯說他正在製作能激勵出此地居民力量的滋養補品。阿雷魯諾男爵所給的原液加入巨魔蠍來稀釋後，才能完成滋養補品。完成後請到地圖標示處取來巨魔蠍的毒液。
QUEST_LV_0200_20150323_005020	交出毒
QUEST_LV_0200_20150323_005021	取得巨魔蠍的毒後將巨魔蠍消滅了。現在請回到司泰巴斯那裡將毒交給他。
QUEST_LV_0200_20150323_005022	與司泰巴斯對話
QUEST_LV_0200_20150323_005023	滋養補品好像成功稀釋了。請再次向司泰巴斯搭話。
QUEST_LV_0200_20150323_005024	將滋養補品交給農民
QUEST_LV_0200_20150323_005025	司泰巴斯要你將滋養補品交給達流斯。加入香甜薄荷葉味道會更好。
QUEST_LV_0200_20150323_005026	將藥轉交給達流斯
QUEST_LV_0200_20150323_005027	已經找到了香甜薄荷葉，現在就請把滋養補品交給達流斯吧。
QUEST_LV_0200_20150323_005028	與達流斯對話
QUEST_LV_0200_20150323_005029	提醒達流斯吃藥。
QUEST_LV_0200_20150323_005030	回到司泰巴斯那裡
QUEST_LV_0200_20150323_005031	達流斯吃下藥以後，產生了奇怪的反應，請趕快向司泰巴斯報告！
QUEST_LV_0200_20150323_005032	與瑪流斯對話
QUEST_LV_0200_20150323_005033	瑪流斯需要幫忙。試著靠近後交談。
QUEST_LV_0200_20150323_005034	將沒有腐壞的糕轉交給達流斯
QUEST_LV_0200_20150323_005035	瑪流斯一邊交出點心糕，要你將點心糕轉交給達流斯。但奇怪的是，聽說最近食物很容易腐爛，要拿出新鮮的點心糕是很重要的。路上如果點心糕壞掉的話請立刻丟掉，並重新跟瑪流斯拿一個。
QUEST_LV_0200_20150323_005036	將糕交給達流斯
QUEST_LV_0200_20150323_005037	達流斯到達附近了而且點心糕也沒有壞掉！請將點心糕轉交給達流斯。
QUEST_LV_0200_20150323_005038	現在請與達流斯對話。
QUEST_LV_0200_20150323_005039	消除奇怪的痕跡
QUEST_LV_0200_20150323_005040	從瑪流斯前往達流斯那裡的路上，剛好看到詭異的東西被釘在地上。食物變得容易腐爛的原因原來就是因為那個啊！請向瑪流斯報告，並在路上清除那些東西吧！
QUEST_LV_0200_20150323_005041	回到瑪流斯身邊
QUEST_LV_0200_20150323_005042	已順利清除那些礙眼的東西了。請向瑪流斯報告。
QUEST_LV_0200_20150323_005043	幫忙瑪流斯
QUEST_LV_0200_20150323_005044	瑪流斯好像有很多事情要忙。請幫忙他吧。
QUEST_LV_0200_20150323_005045	找回種子
QUEST_LV_0200_20150323_005046	種子好像被阿雷魯諾男爵嶺的怪物們搶走的樣子。請從阿雷魯諾男爵嶺全區出現的怪物身上找回種子袋。
QUEST_LV_0200_20150323_005047	交給瑪流斯
QUEST_LV_0200_20150323_005048	請將找回來的種子袋交給瑪流斯。
QUEST_LV_0200_20150323_005049	從怪物們身上找回 %s
QUEST_LV_0200_20150323_005050	請從怪物那找回種子口袋
QUEST_LV_0200_20150323_005051	去件需要幫忙的某人
QUEST_LV_0200_20150323_005052	需要幫忙的某人正在找你呢。請上前與他搭話。
QUEST_LV_0200_20150323_005053	確認異常的氣息
QUEST_LV_0200_20150323_005054	據說男爵秘書阿魯那斯正在確認此地區異常的氣息。請前往阿魯那斯所指的地方一起確認異常的氣息吧。
QUEST_LV_0200_20150323_005055	向男爵祕書阿魯那斯報告
QUEST_LV_0200_20150323_005056	請告訴阿魯那斯他所說的地區並沒有甚麼事發生。
QUEST_LV_0200_20150323_005057	與男爵祕書阿魯那斯對話
QUEST_LV_0200_20150323_005058	請與阿魯那斯對話。
QUEST_LV_0200_20150323_005059	男爵祕書阿魯那斯交代的事
QUEST_LV_0200_20150323_005060	男爵祕書阿魯那斯說必須阻隔該處的異常氣息，並給你幾個樹木碎片與咒術人偶。用這個樹木碎片在異常氣息的所在之處製造魔法陣，然後在其前方焚燒術人偶，藉此阻隔異常氣息。
QUEST_LV_0200_20150323_005061	向阿魯那斯報告
QUEST_LV_0200_20150323_005062	雖已製造能消滅異常氣息的魔法陣並焚燒咒術人偶，但作物反而枯萎了。總之，請把已成功製造魔法陣的事告訴阿魯那斯。
QUEST_LV_0200_20150323_005063	去見實習魔法師
QUEST_LV_0200_20150323_005064	發現實習魔法師。請走過去見他。
QUEST_LV_0200_20150323_005065	強化魔法陣
QUEST_LV_0200_20150323_005066	如果強化位於兩側地區的魔法陣再過來，實習魔法師利瑪斯的態度會不會有些微的轉變呢？
QUEST_LV_0200_20150323_005067	向利瑪斯報告
QUEST_LV_0200_20150323_005068	已成功強化兩個魔法陣。請把這件事告訴利瑪斯。
QUEST_LV_0200_20150323_005069	觀察魔法陣
QUEST_LV_0200_20150323_005070	為了消滅異常氣息，請先觀察魔法陣。
QUEST_LV_0200_20150323_005071	消滅守護寶石
QUEST_LV_0200_20150323_005072	觀察魔法陣時，類似寶石的東西突然從魔法陣下方往四周湧出。應該是在保護異常氣息。先把那些類似寶石的東西破壞掉，應該就能強化魔法陣。
